secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
461,"6,40","72,03",1220,"7,02","173,79",120,"1,14","105,26",1381,"1,37","1008,03",442,"3,96","111,62",4720,"4,64","1017,24",208,"2,77","75,09",168,"0,86","195,35",27,"0,32","84,38",28,"0,11","254,55"
479,"6,43","74,49",1257,"7,10","177,04",122,"1,10","110,91",1468,"1,40","1048,57",661,"5,86","112,80",4798,"4,93","973,23",206,"2,80","73,57",252,"1,28","196,88",27,"0,33","81,82",27,"0,09","300,00"
352,"5,21","67,56",1156,"6,72","172,02",113,"1,12","100,89",1503,"1,41","1065,96",642,"5,79","110,88",4902,"4,86","1008,64",134,"1,78","75,28",250,"1,27","196,85",28,"0,31","90,32",27,"0,10","270,00"
463,"6,32","73,26",1089,"6,49","167,80",111,"1,11","100,00",1432,"1,35","1060,74",504,"4,67","107,92",4683,"4,55","1029,23",209,"2,83","73,85",167,"0,92","181,52",27,"0,33","81,82",29,"0,11","263,64"
448,"6,49","69,03",1262,"7,09","178,00",115,"1,10","104,55",1429,"1,35","1058,52",643,"5,73","112,22",4402,"4,51","976,05",206,"2,81","73,31",247,"1,27","194,49",26,"0,31","83,87",28,"0,11","254,55"
456,"6,09","74,88",1225,"7,19","170,38",122,"1,12","108,93",1449,"1,37","1057,66",640,"6,05","105,79",4880,"4,82","1012,45",133,"1,83","72,68",251,"1,28","196,09",26,"0,31","83,87",27,"0,10","270,00"
457,"6,43","71,07",800,"4,80","166,67",126,"1,12","112,50",1400,"1,34","1044,78",592,"5,60","105,71",4860,"4,84","1004,13",201,"2,63","76,43",192,"1,01","190,10",28,"0,36","77,78",29,"0,10","290,00"
454,"6,49","69,95",1240,"7,15","173,43",33,"0,31","106,45",1422,"1,38","1030,43",638,"5,82","109,62",3185,"3,27","974,01",207,"2,70","76,67",244,"1,26","193,65",28,"0,34","82,35",29,"0,10","290,00"
438,"6,17","70,99",1198,"7,10","168,73",110,"1,03","106,80",1238,"1,33","930,83",638,"5,73","111,34",4759,"4,88","975,20",137,"1,87","73,26",246,"1,23","200,00",19,"0,23","82,61",27,"0,10","270,00"
417,"6,02","69,27",819,"4,82","169,92",117,"1,14","102,63",1293,"1,37","943,80",572,"5,32","107,52",4905,"4,88","1005,12",197,"2,64","74,62",230,"1,18","194,92",28,"0,33","84,85",27,"0,12","225,00"
456,"6,50","70,15",1230,"7,16","171,79",113,"1,12","100,89",1425,"1,36","1047,79",612,"5,36","114,18",3290,"3,24","1015,43",207,"2,64","78,41",248,"1,26","196,83",29,"0,31","93,55",29,"0,09","322,22"
466,"6,50","71,69",1201,"7,11","168,92",119,"1,12","106,25",1446,"1,37","1055,47",664,"5,71","116,29",4860,"4,95","981,82",164,"2,23","73,54",244,"1,25","195,20",18,"0,23","78,26",28,"0,11","254,55"
309,"4,36","70,87",852,"4,83","176,40",116,"1,10","105,45",549,"0,50","1098,00",634,"5,82","108,93",4855,"4,84","1003,10",193,"2,58","74,81",229,"1,18","194,07",28,"0,33","84,85",29,"0,11","263,64"
469,"6,57","71,39",1201,"7,11","168,92",107,"1,12","95,54",1156,"1,14","1014,04",433,"3,96","109,34",3372,"3,20","1053,75",207,"2,80","73,93",234,"1,19","196,64",28,"0,34","82,35",27,"0,10","270,00"
460,"6,53","70,44",1239,"7,19","172,32",119,"1,13","105,31",1362,"1,43","952,45",647,"5,84","110,79",4830,"4,81","1004,16",196,"2,67","73,41",247,"1,31","188,55",19,"0,22","86,36",25,"0,08","312,50"
309,"4,47","69,13",972,"5,66","171,73",124,"1,13","109,73",1335,"1,29","1034,88",642,"5,87","109,37",4893,"4,89","1000,61",200,"2,65","75,47",246,"1,31","187,79",28,"0,33","84,85",29,"0,11","263,64"
469,"6,47","72,49",1165,"6,98","166,91",121,"1,14","106,14",1464,"1,37","1068,61",435,"3,92","110,97",3807,"3,69","1031,71",203,"2,65","76,60",173,"0,90","192,22",28,"0,35","80,00",30,"0,11","272,73"
467,"6,41","72,85",1242,"7,11","174,68",123,"1,11","110,81",1483,"1,41","1051,77",655,"5,90","111,02",4746,"4,72","1005,51",192,"2,55","75,29",251,"1,28","196,09",22,"0,26","84,62",29,"0,11","263,64"
321,"4,22","76,07",1192,"6,86","173,76",117,"1,15","101,74",1358,"1,37","991,24",637,"5,89","108,15",4950,"4,97","995,98",182,"2,43","74,90",242,"1,32","183,33",28,"0,34","82,35",27,"0,08","337,50"
464,"6,55","70,84",1172,"7,05","166,24",120,"1,13","106,19",1379,"1,35","1021,48",436,"4,01","108,73",4711,"4,57","1030,85",206,"2,68","76,87",171,"0,87","196,55",27,"0,32","84,38",26,"0,09","288,89"
478,"6,40","74,69",1226,"7,18","170,75",119,"1,12","106,25",1349,"1,33","1014,29",631,"6,02","104,82",4808,"4,90","981,22",210,"2,70","77,78",256,"1,28","200,00",27,"0,34","79,41",27,"0,10","270,00"
380,"5,14","73,93",1174,"6,70","175,22",122,"1,10","110,91",1345,"1,36","988,97",643,"5,84","110,10",4790,"4,98","961,85",129,"1,78","72,47",237,"1,22","194,26",29,"0,34","85,29",29,"0,11","263,64"
441,"6,34","69,56",1116,"6,60","169,09",126,"1,14","110,53",1392,"1,31","1062,60",496,"4,60","107,83",4625,"4,48","1032,37",205,"2,58","79,46",165,"0,85","194,12",27,"0,33","81,82",29,"0,11","263,64"
460,"6,50","70,77",1175,"7,04","166,90",123,"1,12","109,82",1428,"1,31","1090,08",638,"5,87","108,69",4398,"4,66","943,78",208,"2,66","78,20",250,"1,27","196,85",27,"0,30","90,00",27,"0,09","300,00"
450,"6,10","73,77",1173,"6,97","168,29",24,"0,22","109,09",1273,"1,32","964,39",639,"5,75","111,13",4868,"4,87","999,59",140,"1,79","78,21",244,"1,29","189,15",27,"0,32","84,38",29,"0,11","263,64"
