ecdsa-secp521 - P-521;ecdsa-secp521 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
72,85;174,68;110,81;1051,77;111,02;1005,51;75,29;196,09;84,62;263,64
76,07;173,76;101,74;991,24;108,15;995,98;74,90;183,33;82,35;337,50
70,84;166,24;106,19;1021,48;108,73;1030,85;76,87;196,55;84,38;288,89
74,69;170,75;106,25;1014,29;104,82;981,22;77,78;200,00;79,41;270,00
73,93;175,22;110,91;988,97;110,10;961,85;72,47;194,26;85,29;263,64
69,56;169,09;110,53;1062,60;107,83;1032,37;79,46;194,12;81,82;263,64
70,77;166,90;109,82;1090,08;108,69;943,78;78,20;196,85;90,00;300,00
73,77;168,29;109,09;964,39;111,13;999,59;78,21;189,15;84,38;263,64
67,38;162,76;85,84;938,24;105,99;998,77;76,81;190,10;90,32;290,00
72,43;171,09;97,35;1012,98;109,76;967,38;79,01;198,41;82,35;288,89
71,75;168,52;106,36;1011,19;105,22;985,30;79,55;200,00;90,00;272,73
69,65;175,26;106,19;1032,84;110,83;1027,84;77,10;186,29;87,50;254,55
67,12;172,91;107,89;1067,57;110,75;986,02;76,05;202,42;90,62;311,11
75,12;160,92;115,45;866,67;110,81;987,89;80,49;185,82;84,38;263,64
70,84;175,52;112,61;910,42;112,63;1027,19;74,43;187,83;87,10;311,11
71,08;165,30;105,22;1000,71;108,63;1041,88;75,56;197,46;82,35;280,00
69,40;167,37;110,81;1054,41;110,39;1010,36;78,04;190,62;79,41;263,64
66,67;167,54;104,31;1031,30;109,88;1001,24;77,10;196,12;84,85;270,00
71,12;157,98;85,83;1024,63;114,32;1023,48;77,90;203,53;84,85;288,89
70,35;168,53;104,46;1005,84;108,97;967,29;78,31;206,50;87,50;263,64
70,37;169,68;100,00;994,81;110,22;1032,91;77,08;188,80;84,38;263,64
73,04;170,19;104,39;875,18;108,02;1018,44;73,53;198,81;79,41;245,45
69,14;165,57;109,91;917,52;110,58;990,62;77,48;200,81;84,85;263,64
71,15;163,99;110,00;1039,55;107,20;1006,39;73,86;190,62;87,88;263,64
70,06;170,32;108,33;1010,00;109,67;1031,77;78,03;200,00;81,25;270,00
71,67;170,55;105,97;982,14;108,87;1026,24;76,67;195,38;83,87;272,73
71,79;165,49;105,41;1017,42;108,85;953,64;72,83;198,40;82,35;263,64
67,28;167,15;91,74;971,85;109,29;1013,04;79,39;205,10;87,50;270,00
71,39;162,59;102,65;987,59;109,12;949,55;73,06;197,64;84,38;254,55
71,92;173,87;111,82;982,76;108,58;978,16;76,24;189,39;84,85;254,55
70,05;163,35;116,04;1056,82;106,23;1018,86;76,05;193,39;84,85;280,00
69,94;167,18;104,35;1065,91;111,63;1042,99;77,61;205,65;83,87;263,64
70,15;166,43;107,89;978,10;104,91;960,41;76,08;189,92;87,50;385,71
