ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
375,"0,44","852,27",314,"0,30","1046,67",157,"0,49","320,41",440,"0,71","619,72",440,"0,55","800,00"
135,"0,19","710,53",393,"0,43","913,95",349,"1,58","220,89",548,"0,63","869,84",607,"0,58","1046,55"
390,"0,60","650,00",662,"0,65","1018,46",286,"1,31","218,32",351,"0,54","650,00",309,"0,38","813,16"
392,"0,59","664,41",331,"0,35","945,71",359,"1,21","296,69",286,"0,34","841,18",343,"0,33","1039,39"
268,"0,31","864,52",270,"0,34","794,12",284,"0,90","315,56",575,"0,77","746,75",331,"0,43","769,77"
365,"0,40","912,50",422,"0,45","937,78",235,"0,76","309,21",242,"0,34","711,76",558,"0,70","797,14"
196,"0,31","632,26",369,"0,48","768,75",427,"1,37","311,68",244,"0,29","841,38",363,"0,39","930,77"
274,"0,43","637,21",323,"0,49","659,18",448,"1,98","226,26",436,"0,58","751,72",420,"0,49","857,14"
310,"0,34","911,76",342,"0,31","1103,23",262,"0,94","278,72",312,"0,37","843,24",273,"0,27","1011,11"
649,"1,03","630,10",469,"0,71","660,56",350,"1,59","220,13",268,"0,44","609,09",331,"0,36","919,44"
134,"0,17","788,24",494,"0,43","1148,84",302,"1,37","220,44",374,"0,55","680,00",470,"0,54","870,37"
395,"0,58","681,03",456,"0,56","814,29",186,"0,84","221,43",332,"0,37","897,30",228,"0,22","1036,36"
277,"0,41","675,61",475,"0,59","805,08",376,"1,65","227,88",503,"0,68","739,71",429,"0,43","997,67"
485,"0,72","673,61",472,"0,60","786,67",358,"1,10","325,45",281,"0,32","878,12",451,"0,45","1002,22"
255,"0,39","653,85",554,"0,49","1130,61",446,"1,42","314,08",376,"0,56","671,43",331,"0,37","894,59"
330,"0,40","825,00",437,"0,51","856,86",538,"2,23","241,26",387,"0,49","789,80",491,"0,59","832,20"
420,"0,64","656,25",381,"0,37","1029,73",263,"0,88","298,86",205,"0,29","706,90",574,"0,54","1062,96"
283,"0,43","658,14",459,"0,40","1147,50",164,"0,66","248,48",364,"0,51","713,73",719,"0,92","781,52"
286,"0,41","697,56",376,"0,50","752,00",345,"1,18","292,37",214,"0,26","823,08",284,"0,27","1051,85"
401,"0,58","691,38",743,"0,70","1061,43",387,"1,59","243,40",281,"0,38","739,47",591,"0,54","1094,44"
399,"0,61","654,10",354,"0,41","863,41",247,"1,10","224,55",269,"0,40","672,50",301,"0,27","1114,81"
354,"0,55","643,64",324,"0,36","900,00",364,"1,38","263,77",643,"0,79","813,92",317,"0,40","792,50"
358,"0,55","650,91",344,"0,40","860,00",454,"1,62","280,25",332,"0,46","721,74",493,"0,47","1048,94"
786,"1,16","677,59",368,"0,47","782,98",151,"0,49","308,16",342,"0,49","697,96",409,"0,44","929,55"
