ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
248,"3,51","70,66",360,"2,44","147,54",290,"2,84","102,11",334,"0,38","878,95",267,"2,57","103,89",477,"0,69","691,30",135,"1,82","74,18",151,"0,89","169,66",26,"0,30","86,67",24,"0,10","240,00"
236,"3,37","70,03",359,"2,42","148,35",289,"2,92","98,97",496,"0,66","751,52",272,"2,53","107,51",459,"0,62","740,32",134,"1,83","73,22",156,"0,82","190,24",26,"0,30","86,67",25,"0,10","250,00"
249,"3,48","71,55",242,"1,59","152,20",272,"2,79","97,49",493,"0,68","725,00",290,"2,72","106,62",473,"0,64","739,06",88,"1,19","73,95",138,"0,75","184,00",26,"0,32","81,25",27,"0,12","225,00"
252,"3,53","71,39",363,"2,34","155,13",268,"2,62","102,29",388,"0,55","705,45",286,"2,73","104,76",481,"0,62","775,81",132,"1,82","72,53",140,"0,79","177,22",27,"0,29","93,10",26,"0,11","236,36"
235,"3,26","72,09",366,"2,34","156,41",299,"2,84","105,28",480,"0,69","695,65",193,"1,93","100,00",449,"0,67","670,15",134,"1,81","74,03",150,"0,82","182,93",24,"0,31","77,42",26,"0,09","288,89"
229,"3,28","69,82",285,"1,87","152,41",302,"2,77","109,03",495,"0,66","750,00",292,"2,72","107,35",476,"0,69","689,86",89,"1,23","72,36",153,"0,85","180,00",25,"0,31","80,65",28,"0,09","311,11"
243,"3,57","68,07",358,"2,28","157,02",198,"1,92","103,12",472,"0,66","715,15",286,"2,74","104,38",482,"0,59","816,95",134,"1,78","75,28",98,"0,58","168,97",26,"0,31","83,87",25,"0,10","250,00"
249,"3,61","68,98",362,"2,41","150,21",296,"2,76","107,25",488,"0,62","787,10",190,"1,94","97,94",443,"0,58","763,79",130,"1,79","72,63",152,"0,86","176,74",24,"0,29","82,76",27,"0,11","245,45"
167,"2,37","70,46",343,"2,34","146,58",290,"2,87","101,05",495,"0,64","773,44",287,"2,76","103,99",443,"0,63","703,17",101,"1,42","71,13",155,"0,84","184,52",27,"0,32","84,38",27,"0,10","270,00"
239,"3,59","66,57",360,"2,41","149,38",200,"1,91","104,71",463,"0,64","723,44",297,"2,62","113,36",480,"0,65","738,46",130,"1,78","73,03",102,"0,57","178,95",27,"0,38","71,05",26,"0,09","288,89"
244,"3,48","70,11",360,"2,44","147,54",295,"2,72","108,46",452,"0,66","684,85",203,"1,80","112,78",472,"0,70","674,29",132,"1,82","72,53",156,"0,83","187,95",24,"0,30","80,00",26,"0,09","288,89"
168,"2,40","70,00",337,"2,34","144,02",299,"2,79","107,17",497,"0,63","788,89",293,"2,74","106,93",323,"0,44","734,09",125,"1,72","72,67",153,"0,86","177,91",27,"0,32","84,38",28,"0,11","254,55"
247,"3,56","69,38",335,"2,20","152,27",199,"1,86","106,99",495,"0,67","738,81",296,"2,70","109,63",481,"0,62","775,81",132,"1,79","73,74",96,"0,58","165,52",27,"0,35","77,14",25,"0,09","277,78"
245,"3,50","70,00",358,"2,46","145,53",298,"2,78","107,19",333,"0,46","723,91",227,"2,10","108,10",477,"0,67","711,94",133,"1,76","75,57",152,"0,83","183,13",24,"0,29","82,76",28,"0,10","280,00"
