secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
52,"0,35","148,57",52,"0,22","236,36",51,"0,44","115,91",49,"0,21","233,33",51,"0,18","283,33"
49,"0,32","153,12",52,"0,21","247,62",50,"0,42","119,05",53,"0,23","230,43",54,"0,18","300,00"
52,"0,35","148,57",53,"0,22","240,91",49,"0,40","122,50",53,"0,25","212,00",53,"0,18","294,44"
52,"0,37","140,54",51,"0,19","268,42",51,"0,44","115,91",50,"0,22","227,27",50,"0,17","294,12"
48,"0,31","154,84",52,"0,20","260,00",50,"0,42","119,05",53,"0,24","220,83",49,"0,17","288,24"
48,"0,31","154,84",54,"0,20","270,00",49,"0,44","111,36",52,"0,22","236,36",54,"0,19","284,21"
52,"0,34","152,94",50,"0,19","263,16",51,"0,45","113,33",51,"0,22","231,82",53,"0,18","294,44"
52,"0,34","152,94",53,"0,21","252,38",49,"0,41","119,51",53,"0,24","220,83",51,"0,17","300,00"
50,"0,33","151,52",53,"0,22","240,91",50,"0,44","113,64",51,"0,23","221,74",53,"0,18","294,44"
51,"0,35","145,71",50,"0,20","250,00",51,"0,46","110,87",52,"0,24","216,67",53,"0,17","311,76"
52,"0,34","152,94",49,"0,18","272,22",49,"0,45","108,89",53,"0,23","230,43",52,"0,17","305,88"
50,"0,32","156,25",53,"0,20","265,00",51,"0,46","110,87",50,"0,23","217,39",53,"0,17","311,76"
52,"0,35","148,57",54,"0,22","245,45",51,"0,42","121,43",53,"0,23","230,43",52,"0,17","305,88"
50,"0,33","151,52",50,"0,20","250,00",47,"0,40","117,50",52,"0,25","208,00",52,"0,17","305,88"
51,"0,33","154,55",53,"0,21","252,38",47,"0,42","111,90",51,"0,22","231,82",54,"0,19","284,21"
52,"0,34","152,94",53,"0,21","252,38",51,"0,46","110,87",52,"0,25","208,00",51,"0,19","268,42"
50,"0,34","147,06",51,"0,20","255,00",51,"0,42","121,43",53,"0,24","220,83",53,"0,18","294,44"
51,"0,34","150,00",53,"0,21","252,38",48,"0,44","109,09",50,"0,21","238,10",53,"0,18","294,44"
52,"0,34","152,94",52,"0,20","260,00",51,"0,45","113,33",53,"0,25","212,00",51,"0,17","300,00"
49,"0,31","158,06",51,"0,19","268,42",51,"0,45","113,33",53,"0,24","220,83",53,"0,18","294,44"
48,"0,33","145,45",54,"0,21","257,14",48,"0,40","120,00",49,"0,22","222,73",54,"0,18","300,00"
52,"0,34","152,94",51,"0,20","255,00",51,"0,44","115,91",49,"0,22","222,73",50,"0,18","277,78"
52,"0,34","152,94",52,"0,20","260,00",50,"0,45","111,11",53,"0,23","230,43",49,"0,16","306,25"
35,"0,22","159,09",53,"0,20","265,00",50,"0,42","119,05",53,"0,25","212,00",54,"0,20","270,00"
52,"0,34","152,94",51,"0,19","268,42",51,"0,42","121,43",50,"0,21","238,10",53,"0,18","294,44"
52,"0,33","157,58",53,"0,23","230,43",49,"0,41","119,51",53,"0,24","220,83",51,"0,17","300,00"
