secp384r1,P-384,,secp384r1,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
1012,"6,59","153,57",1798,"5,64","318,79",1398,"6,29","222,26",7924,"6,65","1191,58",393,"3,27","120,18",457,"2,27","201,32",27,"0,18","150,00",24,"0,06","400,00"
680,"4,43","153,50",2270,"6,95","326,62",1038,"4,87","213,14",5261,"4,58","1148,69",259,"2,23","116,14",464,"2,24","207,14",26,"0,17","152,94",27,"0,07","385,71"
994,"6,50","152,92",2330,"7,19","324,06",1389,"6,18","224,76",7706,"6,79","1134,90",389,"3,32","117,17",359,"1,77","202,82",23,"0,14","164,29",26,"0,07","371,43"
992,"6,57","150,99",2201,"6,93","317,60",1363,"6,27","217,38",7784,"6,75","1153,19",394,"3,24","121,60",433,"2,22","195,05",27,"0,19","142,11",26,"0,07","371,43"
695,"4,33","160,51",2433,"7,13","341,23",1270,"6,01","211,31",6158,"5,11","1205,09",268,"2,22","120,72",458,"2,25","203,56",25,"0,18","138,89",26,"0,08","325,00"
1011,"6,47","156,26",2237,"7,05","317,30",1370,"6,18","221,68",7447,"6,61","1126,63",380,"3,30","115,15",430,"2,08","206,73",25,"0,17","147,06",26,"0,08","325,00"
975,"6,54","149,08",2254,"6,73","334,92",1381,"6,23","221,67",7865,"6,50","1210,00",391,"3,24","120,68",457,"2,26","202,21",27,"0,18","150,00",25,"0,07","357,14"
799,"5,10","156,67",2190,"6,62","330,82",1276,"5,89","216,64",7478,"6,35","1177,64",306,"2,56","119,53",453,"2,21","204,98",26,"0,17","152,94",26,"0,07","371,43"
1007,"6,43","156,61",2267,"7,14","317,51",1265,"5,60","225,89",7576,"6,65","1139,25",396,"3,22","122,98",421,"2,05","205,37",23,"0,17","135,29",25,"0,06","416,67"
967,"6,45","149,92",2337,"7,20","324,58",1417,"6,24","227,08",7840,"6,70","1170,15",382,"3,30","115,76",423,"2,00","211,50",25,"0,16","156,25",25,"0,07","357,14"
964,"6,18","155,99",1626,"4,90","331,84",1343,"6,18","217,31",7247,"6,11","1186,09",371,"3,07","120,85",460,"2,14","214,95",27,"0,18","150,00",27,"0,07","385,71"
896,"5,92","151,35",2251,"7,14","315,27",942,"4,24","222,17",7021,"6,21","1130,60",376,"3,29","114,29",450,"2,22","202,70",25,"0,15","166,67",24,"0,07","342,86"
999,"6,52","153,22",2288,"7,17","319,11",1292,"6,20","208,39",7915,"6,76","1170,86",384,"3,28","117,07",313,"1,49","210,07",26,"0,18","144,44",25,"0,08","312,50"
1034,"6,55","157,86",1580,"4,72","334,75",1239,"6,21","199,52",7915,"6,76","1170,86",372,"3,03","122,77",464,"2,25","206,22",25,"0,16","156,25",27,"0,06","450,00"
686,"4,42","155,20",2307,"7,25","318,21",828,"4,17","198,56",5224,"4,48","1166,07",362,"2,97","121,89",456,"2,21","206,33",25,"0,15","166,67",26,"0,08","325,00"
1009,"6,51","154,99",2253,"7,17","314,23",1343,"6,20","216,61",7687,"6,68","1150,75",382,"3,37","113,35",312,"1,47","212,24",25,"0,17","147,06",18,"0,05","360,00"
1019,"6,50","156,77",1605,"4,79","335,07",1220,"6,26","194,89",7803,"6,58","1185,87",393,"3,25","120,92",461,"2,20","209,55",26,"0,17","152,94",26,"0,08","325,00"
683,"4,34","157,37",2357,"7,10","331,97",817,"4,17","195,92",5484,"4,59","1194,77",265,"2,14","123,83",472,"2,24","210,71",24,"0,16","150,00",26,"0,07","371,43"
1022,"6,52","156,75",2236,"7,04","317,61",1325,"6,22","213,02",7627,"6,63","1150,38",397,"3,34","118,86",295,"1,53","192,81",26,"0,19","136,84",18,"0,05","360,00"
