rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
242,"0,28","864,29",164,"0,22","745,45",228,"0,28","814,29",204,"0,25","816,00",257,"0,38","676,32",135,"0,18","750,00",257,"0,34","755,88",255,"0,35","728,57",258,"0,32","806,25",191,"0,81","235,80",174,"0,72","241,67",183,"0,77","237,66",38,"0,09","422,22",37,"0,12","308,33",35,"0,09","388,89"
246,"0,27","911,11",243,"0,32","759,38",226,"0,26","869,23",255,"0,33","772,73",174,"0,28","621,43",260,"0,33","787,88",173,"0,21","823,81",255,"0,34","750,00",245,"0,30","816,67",187,"0,82","228,05",191,"0,82","232,93",192,"0,75","256,00",36,"0,10","360,00",36,"0,10","360,00",37,"0,11","336,36"
232,"0,29","800,00",245,"0,33","742,42",244,"0,29","841,38",260,"0,32","812,50",257,"0,38","676,32",259,"0,34","761,76",257,"0,29","886,21",173,"0,20","865,00",256,"0,31","825,81",128,"0,54","237,04",188,"0,86","218,60",179,"0,78","229,49",36,"0,11","327,27",33,"0,09","366,67",37,"0,09","411,11"
245,"0,30","816,67",163,"0,24","679,17",245,"0,32","765,62",247,"0,31","796,77",257,"0,37","694,59",195,"0,28","696,43",258,"0,31","832,26",254,"0,36","705,56",258,"0,34","758,82",191,"0,80","238,75",128,"0,59","216,95",186,"0,82","226,83",36,"0,09","400,00",34,"0,10","340,00",33,"0,08","412,50"
244,"0,25","976,00",244,"0,33","739,39",166,"0,18","922,22",258,"0,33","781,82",174,"0,28","621,43",239,"0,31","770,97",201,"0,22","913,64",256,"0,33","775,76",241,"0,28","860,71",192,"0,79","243,04",188,"0,85","221,18",190,"0,83","228,92",36,"0,09","400,00",36,"0,09","400,00",37,"0,09","411,11"
228,"0,28","814,29",244,"0,31","787,10",244,"0,31","787,10",260,"0,34","764,71",257,"0,39","658,97",260,"0,35","742,86",253,"0,30","843,33",172,"0,25","688,00",237,"0,26","911,54",147,"0,65","226,15",188,"0,83","226,51",177,"0,74","239,19",36,"0,09","400,00",36,"0,09","400,00",36,"0,09","400,00"
226,"0,30","753,33",190,"0,24","791,67",245,"0,25","980,00",244,"0,31","787,10",257,"0,39","658,97",258,"0,38","678,95",257,"0,31","829,03",256,"0,34","752,94",257,"0,32","803,12",187,"0,81","230,86",129,"0,56","230,36",172,"0,76","226,32",38,"0,10","380,00",36,"0,10","360,00",33,"0,08","412,50"
246,"0,30","820,00",237,"0,34","697,06",165,"0,20","825,00",239,"0,29","824,14",202,"0,31","651,61",175,"0,21","833,33",244,"0,27","903,70",255,"0,39","653,85",257,"0,32","803,12",189,"0,80","236,25",189,"0,88","214,77",186,"0,86","216,28",35,"0,10","350,00",37,"0,10","370,00",34,"0,09","377,78"
245,"0,30","816,67",245,"0,32","765,62",243,"0,28","867,86",260,"0,33","787,88",252,"0,37","681,08",259,"0,35","740,00",257,"0,30","856,67",172,"0,24","716,67",174,"0,21","828,57",178,"0,82","217,07",189,"0,89","212,36",188,"0,83","226,51",36,"0,09","400,00",36,"0,10","360,00",36,"0,09","400,00"
164,"0,19","863,16",232,"0,30","773,33",246,"0,29","848,28",260,"0,31","838,71",258,"0,41","629,27",259,"0,37","700,00",257,"0,32","803,12",255,"0,37","689,19",256,"0,30","853,33",189,"0,80","236,25",127,"0,59","215,25",127,"0,51","249,02",37,"0,10","370,00",36,"0,10","360,00",36,"0,10","360,00"
245,"0,26","942,31",242,"0,32","756,25",166,"0,21","790,48",175,"0,20","875,00",245,"0,37","662,16",175,"0,23","760,87",240,"0,29","827,59",256,"0,34","752,94",258,"0,34","758,82",191,"0,77","248,05",186,"0,87","213,79",189,"0,80","236,25",35,"0,09","388,89",37,"0,10","370,00",35,"0,09","388,89"
244,"0,30","813,33",243,"0,32","759,38",245,"0,30","816,67",259,"0,34","761,76",256,"0,38","673,68",260,"0,34","764,71",237,"0,27","877,78",199,"0,28","710,71",174,"0,21","828,57",178,"0,75","237,33",189,"0,85","222,35",191,"0,76","251,32",35,"0,09","388,89",35,"0,11","318,18",37,"0,10","370,00"
165,"0,20","825,00",226,"0,29","779,31",246,"0,30","820,00",260,"0,31","838,71",258,"0,37","697,30",259,"0,36","719,44",258,"0,29","889,66",251,"0,35","717,14",256,"0,31","825,81",176,"0,72","244,44",147,"0,65","226,15",128,"0,54","237,04",34,"0,10","340,00",37,"0,12","308,33",34,"0,10","340,00"
244,"0,29","841,38",225,"0,30","750,00",192,"0,25","768,00",175,"0,23","760,87",242,"0,35","691,43",175,"0,23","760,87",257,"0,32","803,12",256,"0,35","731,43",257,"0,32","803,12",190,"0,80","237,50",185,"0,89","207,87",186,"0,76","244,74",36,"0,11","327,27",36,"0,10","360,00",36,"0,07","514,29"
245,"0,31","790,32",244,"0,32","762,50",241,"0,29","831,03",260,"0,33","787,88",236,"0,32","737,50",259,"0,36","719,44",173,"0,20","865,00",243,"0,31","783,87",173,"0,21","823,81",192,"0,80","240,00",189,"0,87","217,24",190,"0,81","234,57",35,"0,09","388,89",35,"0,09","388,89",36,"0,09","400,00"
165,"0,21","785,71",243,"0,32","759,38",245,"0,32","765,62",260,"0,37","702,70",258,"0,39","661,54",259,"0,38","681,58",257,"0,31","829,03",255,"0,34","750,00",256,"0,32","800,00",128,"0,56","228,57",182,"0,82","221,95",126,"0,51","247,06",36,"0,11","327,27",36,"0,12","300,00",34,"0,09","377,78"
245,"0,30","816,67",165,"0,21","785,71",232,"0,28","828,57",175,"0,24","729,17",258,"0,37","697,30",202,"0,27","748,15",258,"0,29","889,66",254,"0,33","769,70",257,"0,34","755,88",192,"0,82","234,15",188,"0,85","221,18",189,"0,80","236,25",36,"0,10","360,00",36,"0,10","360,00",37,"0,09","411,11"
245,"0,28","875,00",244,"0,31","787,10",246,"0,33","745,45",260,"0,32","812,50",173,"0,27","640,74",254,"0,35","725,71",173,"0,18","961,11",238,"0,31","767,74",202,"0,26","776,92",192,"0,83","231,33",190,"0,82","231,71",190,"0,81","234,57",34,"0,10","340,00",34,"0,09","377,78",36,"0,10","360,00"
192,"0,23","834,78",244,"0,35","697,14",245,"0,30","816,67",260,"0,33","787,88",257,"0,40","642,50",260,"0,34","764,71",257,"0,32","803,12",236,"0,31","761,29",252,"0,31","812,90",129,"0,54","238,89",177,"0,76","232,89",149,"0,66","225,76",36,"0,11","327,27",35,"0,10","350,00",33,"0,09","366,67"
240,"0,28","857,14",163,"0,22","740,91",229,"0,26","880,77",204,"0,26","784,62",258,"0,34","758,82",245,"0,33","742,42",258,"0,25","1032,00",255,"0,34","750,00",257,"0,31","829,03",190,"0,82","231,71",174,"0,78","223,08",185,"0,80","231,25",36,"0,09","400,00",37,"0,12","308,33",34,"0,09","377,78"
