secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
478,"3,28","145,73",1093,"3,74","292,25",541,"4,87","111,09",1046,"4,08","256,37",1285,"3,83","335,51"
770,"4,73","162,79",1171,"3,96","295,71",369,"3,28","112,50",666,"2,87","232,06",1131,"3,89","290,75"
763,"4,73","161,31",1172,"3,90","300,51",600,"4,74","126,58",988,"4,28","230,84",1186,"3,94","301,02"
511,"3,18","160,69",1085,"3,60","301,39",557,"4,85","114,85",976,"4,33","225,40",1185,"3,94","300,76"
755,"4,81","156,96",1002,"3,81","262,99",469,"3,71","126,42",651,"2,96","219,93",1122,"3,70","303,24"
762,"4,73","161,10",1104,"4,13","267,31",546,"4,66","117,17",1051,"4,13","254,48",1174,"3,41","344,28"
507,"3,19","158,93",1171,"3,88","301,80",599,"4,78","125,31",1053,"4,18","251,91",1192,"3,99","298,75"
763,"4,75","160,63",787,"2,67","294,76",570,"4,53","125,83",671,"2,86","234,62",1213,"3,96","306,31"
766,"4,73","161,95",1141,"3,97","287,41",600,"4,71","127,39",1050,"4,08","257,35",812,"2,66","305,26"
591,"3,72","158,87",1100,"4,13","266,34",547,"4,83","113,25",973,"4,32","225,23",1196,"3,97","301,26"
763,"4,62","165,15",770,"2,61","295,02",563,"4,44","126,80",774,"3,42","226,32",1221,"3,89","313,88"
779,"4,72","165,04",1169,"3,99","292,98",501,"4,46","112,33",968,"4,18","231,58",816,"2,65","307,92"
731,"4,46","163,90",1166,"3,96","294,44",535,"4,87","109,86",990,"4,27","231,85",1191,"4,00","297,75"
