secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
346,"6,65","52,03",540,"6,65","81,20",475,"4,42","107,47",5074,"7,65","663,27",595,"6,22","95,66",2687,"6,31","425,83",114,"6,67","17,09",118,"6,13","19,25",14,"6,23","2,25",15,"6,34","2,37"
349,"7,06","49,43",550,"6,77","81,24",667,"6,38","104,55",3472,"5,10","680,78",620,"6,30","98,41",1819,"4,12","441,50",77,"4,46","17,26",124,"6,11","20,29",13,"5,82","2,23",15,"6,35","2,36"
353,"6,91","51,09",382,"4,50","84,89",674,"6,25","107,84",5152,"7,80","660,51",562,"5,89","95,42",2727,"6,33","430,81",117,"6,69","17,49",117,"5,79","20,21",15,"6,36","2,36",14,"6,00","2,33"
346,"6,57","52,66",546,"6,67","81,86",421,"4,49","93,76",4932,"7,85","628,28",549,"5,70","96,32",2665,"6,29","423,69",114,"6,57","17,35",120,"6,04","19,87",14,"6,22","2,25",13,"5,67","2,29"
331,"6,44","51,40",552,"6,64","83,13",646,"6,53","98,93",4011,"6,03","665,17",613,"6,32","96,99",1866,"4,25","439,06",78,"4,41","17,69",125,"6,17","20,26",12,"5,12","2,34",13,"5,88","2,21"
349,"6,85","50,95",391,"4,43","88,26",673,"6,27","107,34",4904,"7,50","653,87",595,"6,39","93,11",2694,"6,38","422,26",116,"6,75","17,19",115,"5,83","19,73",14,"5,96","2,35",15,"6,43","2,33"
355,"7,01","50,64",568,"6,70","84,78",531,"5,20","102,12",5052,"7,41","681,78",414,"4,21","98,34",2712,"6,12","443,14",115,"6,59","17,45",126,"6,23","20,22",14,"6,02","2,33",13,"5,55","2,34"
237,"4,72","50,21",563,"6,69","84,16",632,"6,15","102,76",4642,"7,29","636,76",605,"6,34","95,43",1811,"4,03","449,38",92,"5,29","17,39",126,"6,12","20,59",14,"6,10","2,30",14,"5,98","2,34"
366,"7,03","52,06",391,"4,51","86,70",651,"6,39","101,88",5112,"7,79","656,23",608,"6,25","97,28",2757,"6,29","438,31",114,"6,45","17,67",111,"5,58","19,89",14,"6,02","2,33",15,"6,43","2,33"
347,"6,99","49,64",573,"6,70","85,52",654,"6,11","107,04",5125,"7,69","666,45",412,"4,28","96,26",2711,"6,21","436,55",116,"6,63","17,50",113,"5,82","19,42",14,"6,00","2,33",13,"5,72","2,27"
238,"4,71","50,53",566,"6,59","85,89",661,"6,34","104,26",4840,"7,35","658,50",622,"6,25","99,52",2222,"4,96","447,98",111,"6,37","17,43",124,"6,21","19,97",14,"5,96","2,35",14,"6,17","2,27"
351,"7,21","48,68",447,"5,28","84,66",668,"6,35","105,20",4876,"7,01","695,58",586,"6,35","92,28",2600,"6,04","430,46",111,"6,58","16,87",121,"6,13","19,74",14,"6,01","2,33",14,"6,22","2,25"
342,"7,05","48,51",551,"6,53","84,38",634,"5,98","106,02",5191,"7,67","676,79",409,"4,24","96,46",2680,"6,24","429,49",115,"6,59","17,45",83,"4,20","19,76",15,"6,45","2,33",14,"6,02","2,33"
243,"4,71","51,59",566,"6,82","82,99",613,"5,82","105,33",4990,"7,68","649,74",628,"6,31","99,52",2561,"6,03","424,71",109,"6,24","17,47",127,"6,24","20,35",14,"5,93","2,36",14,"5,98","2,34"
352,"7,03","50,07",534,"6,42","83,18",682,"6,48","105,25",3398,"5,45","623,49",599,"6,28","95,38",2602,"6,24","416,99",116,"6,78","17,11",125,"6,23","20,06",14,"6,05","2,31",14,"5,99","2,34"
354,"7,06","50,14",553,"6,61","83,66",667,"6,30","105,87",5060,"7,71","656,29",477,"4,99","95,59",2623,"6,26","419,01",114,"6,52","17,48",80,"4,14","19,32",14,"6,11","2,29",13,"5,60","2,32"
282,"5,60","50,36",577,"6,67","86,51",433,"4,30","100,70",5071,"7,72","656,87",605,"6,17","98,06",2511,"5,90","425,59",108,"6,19","17,45",126,"6,17","20,42",14,"5,91","2,37",14,"6,02","2,33"
352,"6,78","51,92",517,"6,28","82,32",681,"6,40","106,41",3437,"5,30","648,49",620,"6,31","98,26",2462,"5,57","442,01",107,"6,08","17,60",122,"6,21","19,65",14,"6,37","2,20",13,"5,87","2,21"
345,"6,91","49,93",523,"6,13","85,32",682,"6,56","103,96",5171,"7,80","662,95",570,"6,07","93,90",2709,"6,31","429,32",117,"6,67","17,54",81,"4,24","19,10",14,"5,99","2,34",14,"6,07","2,31"
331,"6,64","49,85",573,"6,63","86,43",458,"4,38","104,57",5030,"7,59","662,71",617,"6,19","99,68",2721,"6,17","441,00",117,"6,65","17,59",124,"6,20","20,00",13,"5,71","2,28",14,"6,08","2,30"
354,"6,93","51,08",552,"6,67","82,76",690,"6,35","108,66",3338,"5,28","632,20",615,"6,25","98,40",1807,"4,27","423,19",108,"6,27","17,22",125,"6,08","20,56",15,"6,30","2,38",14,"6,21","2,25"
359,"7,12","50,42",385,"4,48","85,94",670,"6,40","104,69",4999,"7,78","642,54",566,"5,89","96,10",2730,"6,14","444,63",114,"6,66","17,12",95,"4,81","19,75",14,"6,32","2,22",13,"5,57","2,33"
324,"6,56","49,39",563,"6,75","83,41",461,"4,33","106,47",5010,"7,66","654,05",572,"5,71","100,18",2758,"6,21","444,12",116,"6,60","17,58",120,"6,09","19,70",13,"5,51","2,36",14,"6,10","2,30"
327,"6,38","51,25",551,"6,61","83,36",640,"6,39","100,16",4037,"6,08","663,98",614,"6,24","98,40",1786,"4,29","416,32",110,"6,30","17,46",126,"6,25","20,16",14,"6,01","2,33",15,"6,45","2,33"
356,"6,96","51,15",381,"4,51","84,48",685,"6,54","104,74",5168,"7,59","680,90",610,"6,25","97,60",2677,"6,25","428,32",114,"6,57","17,35",116,"5,83","19,90",15,"6,46","2,32",13,"5,71","2,28"
348,"7,00","49,71",567,"6,71","84,50",492,"5,07","97,04",5118,"7,63","670,77",401,"4,24","94,58",2758,"6,22","443,41",113,"6,56","17,23",121,"6,13","19,74",13,"5,69","2,28",15,"6,30","2,38"
235,"4,62","50,87",569,"6,72","84,67",671,"6,13","109,46",4744,"7,08","670,06",615,"6,22","98,87",1814,"4,15","437,11",112,"6,46","17,34",121,"6,13","19,74",14,"5,97","2,35",14,"5,94","2,36"
362,"7,01","51,64",378,"4,54","83,26",658,"6,45","102,02",5268,"7,61","692,25",593,"6,25","94,88",2697,"6,21","434,30",115,"6,54","17,58",114,"5,85","19,49",15,"6,51","2,30",13,"5,77","2,25"
357,"6,91","51,66",567,"6,67","85,01",641,"6,12","104,74",5162,"7,82","660,10",414,"4,20","98,57",2744,"6,19","443,30",113,"6,39","17,68",112,"5,73","19,55",13,"5,49","2,37",14,"5,94","2,36"
224,"4,66","48,07",571,"6,68","85,48",650,"6,32","102,85",4516,"7,25","622,90",618,"6,22","99,36",2192,"5,02","436,65",113,"6,52","17,33",127,"6,10","20,82",15,"6,51","2,30",15,"6,64","2,26"
358,"6,98","51,29",457,"5,27","86,72",663,"6,41","103,43",4681,"7,25","645,66",604,"6,20","97,42",2564,"6,08","421,71",114,"6,65","17,14",124,"6,13","20,23",14,"6,09","2,30",13,"5,77","2,25"
359,"7,13","50,35",539,"6,60","81,67",626,"6,07","103,13",5226,"7,56","691,27",413,"4,26","96,95",2720,"6,29","432,43",109,"6,25","17,44",84,"4,19","20,05",13,"5,52","2,36",14,"6,13","2,28"
241,"4,68","51,50",582,"6,71","86,74",664,"6,25","106,24",5057,"7,75","652,52",595,"6,34","93,85",2744,"6,28","436,94",116,"6,63","17,50",128,"6,12","20,92",14,"6,13","2,28",14,"6,21","2,25"
341,"7,02","48,58",541,"6,31","85,74",697,"6,33","110,11",3456,"5,30","652,08",615,"6,27","98,09",2725,"6,19","440,23",115,"6,55","17,56",127,"6,10","20,82",14,"6,05","2,31",13,"5,54","2,35"
354,"7,09","49,93",557,"6,65","83,76",609,"5,98","101,84",5089,"7,82","650,77",491,"4,96","98,99",1368,"3,23","423,53",108,"6,23","17,34",83,"4,15","20,00",13,"5,58","2,33",15,"6,42","2,34"
281,"5,62","50,00",572,"6,80","84,12",637,"6,02","105,81",5024,"7,47","672,56",586,"6,12","95,75",2739,"6,29","435,45",105,"6,10","17,21",124,"6,06","20,46",14,"6,29","2,23",14,"5,97","2,35"
342,"6,87","49,78",523,"6,33","82,62",666,"6,36","104,72",3502,"5,25","667,05",611,"6,32","96,68",2730,"6,29","434,02",113,"6,65","16,99",122,"6,31","19,33",14,"6,23","2,25",13,"5,54","2,35"
351,"7,09","49,51",513,"6,08","84,38",644,"6,45","99,84",5113,"7,63","670,12",578,"6,10","94,75",2055,"4,75","432,63",117,"6,64","17,62",82,"4,11","19,95",14,"5,94","2,36",14,"5,99","2,34"
342,"6,68","51,20",575,"6,71","85,69",447,"4,20","106,43",5019,"7,70","651,82",586,"6,28","93,31",2528,"5,73","441,19",108,"6,33","17,06",125,"6,16","20,29",14,"6,12","2,29",14,"5,91","2,37"
