rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1611,"5,96","270,30",1521,"5,92","256,93",1251,"4,69","266,74",4817,"5,91","815,06",3049,"4,13","738,26",4920,"6,11","805,24",3894,"5,92","657,77",3390,"5,62","603,20",3922,"6,00","653,67",320,"6,34","50,47",245,"4,97","49,30",303,"6,42","47,20",22,"6,36","3,46",20,"5,78","3,46",20,"5,92","3,38"
1032,"4,01","257,36",1480,"6,01","246,26",1563,"5,82","268,56",4586,"5,60","818,93",4376,"6,14","712,70",3345,"4,11","813,87",3942,"6,01","655,91",3313,"5,56","595,86",2584,"4,08","633,33",320,"6,41","49,92",312,"6,29","49,60",293,"5,94","49,33",20,"5,84","3,42",21,"5,94","3,54",21,"5,96","3,52"
1657,"5,92","279,90",1215,"4,70","258,51",1568,"5,94","263,97",4447,"5,63","789,88",4253,"6,20","685,97",4977,"6,30","790,00",3815,"5,70","669,30",3639,"5,95","611,60",3938,"5,90","667,46",250,"5,04","49,60",302,"6,55","46,11",284,"5,88","48,30",21,"5,86","3,58",21,"6,04","3,48",21,"5,87","3,58"
1596,"5,95","268,24",1454,"5,87","247,70",1512,"5,65","267,61",5063,"5,91","856,68",2851,"4,22","675,59",4861,"6,16","789,12",3929,"5,92","663,68",3639,"6,08","598,52",3873,"5,83","664,32",317,"6,19","51,21",304,"6,13","49,59",312,"6,25","49,92",22,"6,19","3,55",20,"5,84","3,42",21,"6,08","3,45"
1081,"4,02","268,91",1507,"5,96","252,85",1556,"5,95","261,51",4889,"6,02","812,13",4400,"5,98","735,79",3805,"4,81","791,06",3863,"5,98","645,99",2444,"4,06","601,97",2633,"3,98","661,56",304,"6,23","48,80",296,"5,89","50,25",318,"6,24","50,96",20,"5,86","3,41",22,"6,21","3,54",21,"6,23","3,37"
1611,"5,97","269,85",1418,"5,81","244,06",1607,"5,89","272,84",3305,"4,14","798,31",4319,"6,04","715,07",4949,"6,01","823,46",3766,"5,71","659,54",3485,"5,91","589,68",3893,"6,02","646,68",297,"6,11","48,61",302,"6,39","47,26",208,"4,14","50,24",22,"6,15","3,58",21,"6,04","3,48",21,"5,89","3,57"
1642,"5,96","275,50",1468,"5,98","245,48",1536,"5,57","275,76",4800,"6,03","796,02",2970,"4,04","735,15",4907,"6,09","805,75",3573,"5,45","655,60",3556,"6,02","590,70",3872,"6,06","638,94",308,"6,42","47,98",322,"6,40","50,31",313,"6,15","50,89",21,"5,97","3,52",20,"5,70","3,51",21,"6,00","3,50"
1274,"4,72","269,92",1509,"5,92","254,90",1428,"5,52","258,70",5014,"6,05","828,76",4366,"5,94","735,02",4752,"5,84","813,70",3873,"5,85","662,05",2326,"4,14","561,84",3095,"4,72","655,72",313,"6,40","48,91",212,"4,32","49,07",320,"6,26","51,12",20,"5,78","3,46",21,"5,99","3,51",22,"6,28","3,50"
1526,"5,81","262,65",1378,"5,84","235,96",1576,"5,93","265,77",3345,"4,15","806,02",4234,"5,96","710,40",5042,"6,14","821,17",4032,"6,04","667,55",3563,"6,11","583,14",3734,"5,81","642,69",293,"5,89","49,75",310,"6,41","48,36",215,"4,24","50,71",22,"6,16","3,57",20,"5,85","3,42",20,"5,65","3,54"
1627,"5,86","277,65",1385,"5,42","255,54",1645,"5,92","277,87",5022,"6,16","815,26",3396,"4,91","691,65",4914,"6,20","792,58",2647,"4,06","651,97",3383,"5,82","581,27",3894,"6,04","644,70",291,"5,81","50,09",312,"6,39","48,83",308,"6,29","48,97",22,"6,14","3,58",22,"6,28","3,50",21,"6,21","3,38"
