secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
445,"6,23","71,43",359,"5,91","60,74",1233,"7,18","171,73"
465,"6,43","72,32",249,"4,05","61,48",1210,"7,15","169,23"
449,"6,45","69,61",364,"5,84","62,33",803,"4,80","167,29"
448,"6,16","72,73",358,"5,95","60,17",1214,"7,14","170,03"
435,"5,97","72,86",239,"3,96","60,35",1172,"7,16","163,69"
464,"6,53","71,06",358,"6,01","59,57",969,"5,71","169,70"
467,"6,46","72,29",358,"5,98","59,87",1187,"6,98","170,06"
315,"4,39","71,75",247,"4,07","60,69",1197,"7,08","169,07"
456,"6,46","70,59",369,"5,84","63,18",1190,"6,94","171,47"
474,"6,56","72,26",372,"5,86","63,48",1162,"7,08","164,12"
312,"4,42","70,59",287,"4,67","61,46",1207,"7,19","167,87"
465,"6,54","71,10",358,"5,78","61,94",1155,"6,76","170,86"
459,"6,51","70,51",364,"5,92","61,49",1057,"6,54","161,62"
312,"4,36","71,56",343,"5,51","62,25",1228,"7,18","171,03"
466,"6,50","71,69",348,"5,97","58,29",1212,"7,16","169,27"
451,"6,54","68,96",368,"5,98","61,54",778,"4,86","160,08"
366,"5,09","71,91",352,"5,55","63,42",1214,"7,11","170,75"
440,"6,29","69,95",332,"5,42","61,25",1164,"7,17","162,34"
460,"6,54","70,34",367,"5,90","62,20",802,"4,78","167,78"
443,"6,16","71,92",362,"5,89","61,46",1227,"7,21","170,18"
446,"6,51","68,51",240,"3,96","60,61",1167,"7,13","163,67"
450,"6,43","69,98",363,"5,94","61,11",819,"4,80","170,62"
426,"6,13","69,49",365,"5,84","62,50",1208,"7,18","168,25"
390,"5,97","65,33",245,"4,05","60,49",1165,"7,03","165,72"
464,"6,50","71,38",367,"5,94","61,78",978,"5,61","174,33"
458,"6,55","69,92",363,"5,94","61,11",1149,"6,99","164,38"
313,"4,35","71,95",254,"4,00","63,50",1176,"7,11","165,40"
462,"6,56","70,43",368,"5,85","62,91",1182,"6,87","172,05"
436,"6,50","67,08",349,"5,97","58,46",1166,"7,07","164,92"
299,"4,29","69,70",289,"4,63","62,42",1210,"7,12","169,94"
459,"6,46","71,05",357,"5,79","61,66",1130,"6,74","167,66"
450,"6,44","69,88",364,"5,98","60,87",1074,"6,46","166,25"
305,"4,44","68,69",354,"5,70","62,11",1216,"7,19","169,12"
454,"6,52","69,63",362,"5,81","62,31",1181,"7,16","164,94"
447,"6,65","67,22",345,"6,14","56,19",804,"4,78","168,20"
360,"5,17","69,63",344,"5,55","61,98",1233,"7,10","173,66"
447,"6,39","69,95",333,"5,26","63,31",1204,"7,13","168,86"
442,"6,52","67,79",366,"5,99","61,10",814,"4,80","169,58"
439,"6,19","70,92",365,"5,94","61,45",1227,"7,19","170,65"
463,"6,51","71,12",235,"3,93","59,80",1144,"7,17","159,55"
454,"6,44","70,50",362,"5,90","61,36",827,"4,87","169,82"
431,"6,01","71,71",363,"6,01","60,40",1186,"7,18","165,18"
407,"5,85","69,57",252,"4,00","63,00",1159,"7,09","163,47"
440,"6,54","67,28",369,"5,92","62,33",955,"5,72","166,96"
456,"6,50","70,15",362,"6,10","59,34",1138,"6,95","163,74"
290,"4,33","66,97",248,"3,99","62,16",1207,"7,06","170,96"
458,"6,47","70,79",364,"5,99","60,77",1174,"6,81","172,39"
470,"6,44","72,98",361,"5,97","60,47",1134,"7,08","160,17"
308,"4,39","70,16",289,"4,78","60,46",1220,"7,17","170,15"
432,"6,56","65,85",350,"5,77","60,66",1128,"6,71","168,11"
453,"6,42","70,56",358,"5,94","60,27",1126,"6,53","172,43"
309,"4,43","69,75",352,"5,82","60,48",1217,"7,11","171,17"
451,"6,53","69,07",361,"5,77","62,56",1187,"7,25","163,72"
453,"6,43","70,45",370,"5,84","63,36",815,"4,81","169,44"
344,"5,15","66,80",339,"5,51","61,52",1227,"7,24","169,48"
457,"6,39","71,52",319,"5,50","58,00",1200,"7,07","169,73"
454,"6,50","69,85",368,"5,92","62,16",816,"4,86","167,90"
426,"6,28","67,83",362,"5,89","61,46",1227,"7,17","171,13"
460,"6,53","70,44",240,"3,98","60,30",1189,"7,13","166,76"
449,"6,50","69,08",363,"5,96","60,91",809,"4,87","166,12"
430,"6,10","70,49",350,"6,05","57,85",1231,"7,12","172,89"
