sphincssha2128fsimple;X25519;;sphincssha2128fsimple;P-256;;sphincssha2128fsimple;kyber512;;sphincssha2128ssimple;X25519;;sphincssha2128ssimple;P-256;;sphincssha2128ssimple;kyber512;;sphincssha2192fsimple;P-384;;sphincssha2192fsimple;kyber768;;sphincssha2192ssimple;P-384;;sphincssha2192ssimple;kyber768;;sphincssha2256fsimple;P-521;;sphincssha2256fsimple;kyber1024;;sphincssha2256ssimple;P-521;;sphincssha2256ssimple;kyber1024;;sphincsshake128fsimple;X25519;;sphincsshake128fsimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake128ssimple;X25519;;sphincsshake128ssimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake192fsimple;P-384;;sphincsshake192fsimple;kyber768;;sphincsshake192ssimple;P-384;;sphincsshake192ssimple;kyber768;;sphincsshake256fsimple;P-521;;sphincsshake256fsimple;kyber1024;;sphincsshake256ssimple;P-521;;sphincsshake256ssimple;kyber1024;
Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec;Group 3 Connections;Time (s);Connections/User Sec;Group 4 Connections;Time (s);Connections/User Sec;Group 5 Connections;Time (s);Connections/User Sec;Group 6 Connections;Time (s);Connections/User Sec;Group 7 Connections;Time (s);Connections/User Sec;Group 8 Connections;Time (s);Connections/User Sec;Group 9 Connections;Time (s);Connections/User Sec;Group 10 Connections;Time (s);Connections/User Sec;Group 11 Connections;Time (s);Connections/User Sec;Group 12 Connections;Time (s);Connections/User Sec;Group 13 Connections;Time (s);Connections/User Sec;Group 14 Connections;Time (s);Connections/User Sec;Group 15 Connections;Time (s);Connections/User Sec;Group 16 Connections;Time (s);Connections/User Sec;Group 17 Connections;Time (s);Connections/User Sec;Group 18 Connections;Time (s);Connections/User Sec;Group 19 Connections;Time (s);Connections/User Sec;Group 20 Connections;Time (s);Connections/User Sec;Group 21 Connections;Time (s);Connections/User Sec;Group 22 Connections;Time (s);Connections/User Sec;Group 23 Connections;Time (s);Connections/User Sec;Group 24 Connections;Time (s);Connections/User Sec;Group 25 Connections;Time (s);Connections/User Sec;Group 26 Connections;Time (s);Connections/User Sec;Group 27 Connections;Time (s);Connections/User Sec;Group 28 Connections;Time (s);Connections/User Sec
427;2,16;197,69;582;2,11;275,83;584;2,04;286,27;38;0,07;542,86;30;0,14;214,29;38;0,07;542,86;356;2,75;129,45;419;1,75;239,43;22;0,13;169,23;22;0,05;440;183;2,26;80,97;224;1,01;221,78;25;0,29;86,21;25;0,12;208,33;276;1,59;173,58;404;1,67;241,92;406;1,58;256,96;24;0,05;480;24;0,06;400;409;1,63;250,92;234;2,1;111,43;258;1,39;185,61;14;0,09;155,56;14;0,05;280;120;1,81;66,3;137;0,79;173,42;14;0,19;73,68;16;0,06;266,67
551;2,05;268,78;573;2,21;259,28;592;2,1;281,9;37;0,08;462,5;38;0,09;422,22;38;0,08;475;355;2,75;129,09;368;1,78;206,74;22;0,15;146,67;23;0,06;383,33;184;2,33;78,97;226;1,02;221,57;25;0,26;96,15;25;0,08;312,5;376;1,55;242,58;402;1,62;248,15;404;1,58;255,7;24;0,05;480;23;0,06;383,33;393;1,6;245,62;234;2,05;114,15;260;1,41;184,4;14;0,08;175;14;0,04;350;122;1,65;73,94;138;0,89;155,06;16;0,19;84,21;17;0,05;340
578;2,16;267,59;575;2,11;272,51;583;2,04;285,78;39;0,07;557,14;38;0,1;380;38;0,07;542,86;355;2,73;130,04;415;1,8;230,56;23;0,14;164,29;16;0,04;400;184;2,31;79,65;171;1,14;150;25;0,27;92,59;26;0,08;325;404;1,56;258,97;404;1,66;243,37;406;1,59;255,35;23;0,05;460;25;0,06;416,67;401;1,6;250,62;233;2,22;104,95;252;1,37;183,94;14;0,09;155,56;14;0,04;350;120;1,61;74,53;137;0,78;175,64;14;0,22;63,64;16;0,05;320
587;2,06;284,95;542;2,25;240,89;584;2,07;282,13;35;0,08;437,5;38;0,08;475;38;0,07;542,86;358;2,75;130,18;420;1,72;244,19;23;0,14;164,29;23;0,06;383,33;181;2,26;80,09;205;1,12;183,04;24;0,28;85,71;25;0,07;357,14;401;1,57;255,41;394;1,59;247,8;400;1,63;245,4;24;0,05;480;24;0,05;480;403;1,59;253,46;233;2,07;112,56;261;1,39;187,77;13;0,09;144,44;14;0,04;350;120;1,65;72,73;137;0,8;171,25;14;0,18;77,78;16;0,06;266,67
579;2,04;283,82;535;2,19;244,29;582;2,04;285,29;38;0,08;475;38;0,09;422,22;39;0,07;557,14;355;2,83;125,44;420;1,75;240;23;0,14;164,29;23;0,06;383,33;185;2,32;79,74;226;1,02;221,57;25;0,29;86,21;25;0,08;312,5;408;1,57;259,87;401;1,6;250,62;402;1,61;249,69;24;0,05;480;23;0,06;383,33;408;1,64;248,78;235;2,19;107,31;263;1,4;187,86;14;0,08;175;14;0,04;350;122;1,64;74,39;137;0,78;175,64;14;0,19;73,68;16;0,06;266,67
567;2,12;267,45;581;2,1;276,67;587;2,07;283,57;38;0,07;542,86;38;0,08;475;38;0,07;542,86;357;2,76;129,35;419;1,81;231,49;23;0,14;164,29;23;0,06;383,33;185;2,25;82,22;227;1,01;224,75;24;0,29;82,76;25;0,08;312,5;408;1,57;259,87;403;1,61;250,31;406;1,57;258,6;24;0,04;600;24;0,05;480;408;1,61;253,42;234;2,07;113,04;262;1,46;179,45;14;0,09;155,56;14;0,04;350;121;1,7;71,18;138;0,8;172,5;13;0,19;68,42;17;0,06;283,33
566;2,08;272,12;575;2,11;272,51;583;2,06;283,01;38;0,07;542,86;38;0,09;422,22;38;0,08;475;354;2,81;125,98;401;1,73;231,79;23;0,14;164,29;23;0,06;383,33;184;2,41;76,35;225;1,04;216,35;25;0,28;89,29;26;0,08;325;407;1,53;266,01;400;1,71;233,92;406;1,58;256,96;25;0,06;416,67;24;0,05;480;408;1,63;250,31;236;2,11;111,85;262;1,4;187,14;14;0,08;175;14;0,04;350;121;1,66;72,89;137;0,8;171,25;14;0,2;70;16;0,05;320
580;2,09;277,51;582;2,11;275,83;591;2,08;284,13;38;0,08;475;37;0,08;462,5;38;0,07;542,86;356;2,72;130,88;419;1,75;239,43;24;0,14;171,43;24;0,06;400;183;2,3;79,57;178;1,1;161,82;24;0,26;92,31;25;0,08;312,5;406;1,54;263,64;402;1,65;243,64;398;1,6;248,75;24;0,05;480;24;0,05;480;405;1,62;250;236;2,21;106,79;262;1,39;188,49;13;0,09;144,44;14;0,03;466,67;121;1,65;73,33;139;0,81;171,6;15;0,17;88,24;16;0,05;320
583;2,13;273,71;575;2,11;272,51;585;2,07;282,61;39;0,08;487,5;38;0,08;475;35;0,06;583,33;357;2,76;129,35;420;1,73;242,77;23;0,13;176,92;23;0,06;383,33;182;2,28;79,82;195;1,04;187,5;25;0,28;89,29;26;0,09;288,89;405;1,54;262,99;404;1,66;243,37;407;1,59;255,97;24;0,05;480;24;0,06;400;407;1,63;249,69;225;2,15;104,65;262;1,39;188,49;14;0,09;155,56;14;0,04;350;122;1,65;73,94;138;0,81;170,37;16;0,18;88,89;16;0,06;266,67
588;2,09;281,34;579;2,1;275,71;591;2,08;284,13;29;0,07;414,29;38;0,09;422,22;38;0,07;542,86;356;2,8;127,14;423;1,78;237,64;23;0,14;164,29;23;0,05;460;183;2,3;79,57;226;1,01;223,76;25;0,27;92,59;25;0,08;312,5;405;1,56;259,62;399;1,67;238,92;407;1,56;260,9;24;0,05;480;24;0,05;480;410;1,64;250;234;2,09;111,96;262;1,5;174,67;14;0,09;155,56;14;0,04;350;121;1,64;73,78;132;0,78;169,23;16;0,18;88,89;17;0,06;283,33
