secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
612,"3,87","158,14",766,"2,73","280,59",559,"4,64","120,47",734,"2,78","264,03",1287,"3,72","345,97"
521,"3,40","153,24",702,"2,33","301,29",721,"5,84","123,46",655,"2,54","257,87",595,"1,73","343,93"
560,"3,73","150,13",811,"2,80","289,64",518,"4,14","125,12",619,"2,65","233,58",975,"2,82","345,74"
562,"3,70","151,89",1084,"3,64","297,80",560,"4,58","122,27",726,"2,98","243,62",788,"2,27","347,14"
500,"3,22","155,28",786,"2,83","277,74",553,"4,50","122,89",846,"3,39","249,56",768,"2,21","347,51"
481,"3,37","142,73",744,"2,56","290,62",317,"2,61","121,46",761,"3,08","247,08",947,"2,72","348,16"
375,"2,39","156,90",1085,"3,72","291,67",412,"3,45","119,42",618,"2,33","265,24",1119,"3,17","353,00"
449,"3,01","149,17",917,"3,16","290,19",454,"3,69","123,04",913,"3,72","245,43",1024,"2,96","345,95"
486,"3,28","148,17",594,"2,05","289,76",384,"3,04","126,32",805,"3,09","260,52",498,"1,43","348,25"
445,"2,84","156,69",608,"2,00","304,00",323,"2,72","118,75",757,"3,07","246,58",1009,"3,07","328,66"
