ecdsa-secp384,P-384,,ecdsa-secp384,kyber768,,dilithium3,P-384,,dilithium3,kyber768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,kyber768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,kyber768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
26,"0,21","123,81",24,"0,11","218,18",26,"0,14","185,71",27,"0,04","675,00",18,"0,26","69,23",18,"0,12","150,00",12,"0,18","66,67",13,"0,05","260,00"
25,"0,20","125,00",27,"0,11","245,45",27,"0,21","128,57",27,"0,05","540,00",17,"0,19","89,47",18,"0,12","150,00",12,"0,09","133,33",12,"0,04","300,00"
26,"0,21","123,81",26,"0,12","216,67",26,"0,14","185,71",26,"0,04","650,00",18,"0,20","90,00",17,"0,11","154,55",12,"0,09","133,33",11,"0,04","275,00"
26,"0,20","130,00",27,"0,19","142,11",24,"0,18","133,33",27,"0,05","540,00",18,"0,19","94,74",18,"0,12","150,00",12,"0,09","133,33",6,"0,07","85,71"
26,"0,21","123,81",25,"0,11","227,27",26,"0,14","185,71",23,"0,04","575,00",16,"0,16","100,00",18,"0,18","100,00",12,"0,09","133,33",10,"0,05","200,00"
26,"0,21","123,81",24,"0,11","218,18",26,"0,14","185,71",27,"0,04","675,00",18,"0,25","72,00",18,"0,14","128,57",12,"0,09","133,33",12,"0,05","240,00"
26,"0,26","100,00",27,"0,12","225,00",27,"0,16","168,75",24,"0,05","480,00",17,"0,26","65,38",18,"0,18","100,00",12,"0,09","133,33",11,"0,05","220,00"
25,"0,20","125,00",26,"0,11","236,36",26,"0,24","108,33",27,"0,04","675,00",18,"0,21","85,71",17,"0,17","100,00",12,"0,09","133,33",11,"0,04","275,00"
26,"0,20","130,00",27,"0,14","192,86",27,"0,15","180,00",27,"0,05","540,00",18,"0,21","85,71",17,"0,19","89,47",12,"0,10","120,00",12,"0,05","240,00"
26,"0,21","123,81",27,"0,12","225,00",26,"0,15","173,33",26,"0,04","650,00",18,"0,26","69,23",18,"0,14","128,57",12,"0,10","120,00",13,"0,05","260,00"
26,"0,21","123,81",26,"0,11","236,36",26,"0,16","162,50",25,"0,03","833,33",18,"0,22","81,82",18,"0,12","150,00",12,"0,10","120,00",12,"0,04","300,00"
26,"0,21","123,81",27,"0,12","225,00",26,"0,15","173,33",25,"0,04","625,00",17,"0,23","73,91",17,"0,16","106,25",12,"0,08","150,00",11,"0,04","275,00"
26,"0,21","123,81",26,"0,12","216,67",27,"0,18","150,00",26,"0,10","260,00",18,"0,21","85,71",18,"0,21","85,71",11,"0,11","100,00",11,"0,04","275,00"
24,"0,19","126,32",27,"0,11","245,45",26,"0,15","173,33",27,"0,04","675,00",18,"0,21","85,71",18,"0,15","120,00",11,"0,10","110,00",11,"0,04","275,00"
25,"0,28","89,29",27,"0,11","245,45",24,"0,19","126,32",25,"0,08","312,50",17,"0,19","89,47",17,"0,12","141,67",12,"0,09","133,33",11,"0,06","183,33"
26,"0,20","130,00",24,"0,21","114,29",26,"0,15","173,33",27,"0,04","675,00",17,"0,19","89,47",18,"0,30","60,00",13,"0,10","130,00",11,"0,03","366,67"
23,"0,18","127,78",26,"0,12","216,67",27,"0,14","192,86",27,"0,05","540,00",18,"0,21","85,71",18,"0,13","138,46",12,"0,10","120,00",12,"0,07","171,43"
26,"0,21","123,81",27,"0,11","245,45",25,"0,29","86,21",26,"0,14","185,71",18,"0,26","69,23",18,"0,13","138,46",12,"0,12","100,00",12,"0,04","300,00"
24,"0,18","133,33",26,"0,12","216,67",26,"0,15","173,33",27,"0,05","540,00",17,"0,19","89,47",17,"0,14","121,43",12,"0,10","120,00",11,"0,05","220,00"
25,"0,25","100,00",27,"0,13","207,69",26,"0,15","173,33",27,"0,05","540,00",18,"0,25","72,00",18,"0,13","138,46",12,"0,09","133,33",11,"0,03","366,67"
26,"0,21","123,81",26,"0,17","152,94",26,"0,14","185,71",26,"0,04","650,00",18,"0,24","75,00",18,"0,16","112,50",12,"0,15","80,00",12,"0,04","300,00"
23,"0,18","127,78",27,"0,15","180,00",24,"0,15","160,00",26,"0,10","260,00",17,"0,17","100,00",17,"0,24","70,83",12,"0,10","120,00",11,"0,04","275,00"
27,"0,22","122,73",26,"0,12","216,67",24,"0,20","120,00",27,"0,04","675,00",17,"0,21","80,95",18,"0,12","150,00",12,"0,12","100,00",11,"0,04","275,00"
24,"0,18","133,33",27,"0,12","225,00",26,"0,15","173,33",27,"0,10","270,00",15,"0,59","25,42",18,"0,19","94,74",12,"0,09","133,33",11,"0,04","275,00"
26,"0,21","123,81",27,"0,11","245,45",24,"0,15","160,00",24,"0,04","600,00",16,"0,38","42,11",18,"0,11","163,64",12,"0,15","80,00",10,"0,04","250,00"
26,"0,27","96,30",26,"0,14","185,71",26,"0,15","173,33",27,"0,04","675,00",17,"0,27","62,96",18,"0,13","138,46",12,"0,14","85,71",11,"0,04","275,00"
26,"0,21","123,81",27,"0,12","225,00",27,"0,16","168,75",24,"0,04","600,00",18,"0,37","48,65",18,"0,15","120,00",13,"0,09","144,44",10,"0,03","333,33"
26,"0,21","123,81",25,"0,11","227,27",23,"0,17","135,29",27,"0,05","540,00",17,"0,41","41,46",18,"0,19","94,74",12,"0,12","100,00",12,"0,04","300,00"
27,"0,22","122,73",26,"0,13","200,00",22,"0,44","50,00",27,"0,05","540,00",17,"0,20","85,00",17,"0,11","154,55",12,"0,10","120,00",11,"0,05","220,00"
