p256_falcon512,p256_mlkem512,,p256_falcon512,x25519_mlkem512,,p256_falcon512,mlkem512,,p256_sphincssha2128fsimple,p256_mlkem512,,p256_sphincssha2128fsimple,mlkem512,,p256_sphincssha2128fsimple,x25519_mlkem512,,p256_sphincssha2128ssimple,p256_mlkem512,,p256_sphincssha2128ssimple,x25519_mlkem512,,p256_sphincssha2128ssimple,mlkem512,,p256_mayo1,p256_mlkem512,,p256_mayo1,x25519_mlkem512,,p256_mayo1,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
1937,"6,53","296,63",4387,"6,19","708,72",5323,"6,31","843,58",519,"3,43","151,31",417,"1,88","221,81",609,"2,80","217,50",42,"0,21","200,00",41,"0,14","292,86",43,"0,12","358,33",2178,"6,91","315,20",5108,"7,01","728,67",5227,"5,87","890,46"
2124,"6,20","342,58",3560,"4,98","714,86",5197,"6,29","826,23",361,"2,36","152,97",633,"2,83","223,67",644,"2,81","229,18",41,"0,20","205,00",44,"0,15","293,33",43,"0,11","390,91",1541,"4,69","328,57",5172,"7,08","730,51",6416,"7,26","883,75"
1972,"6,38","309,09",4360,"5,99","727,88",3507,"4,19","836,99",532,"3,59","148,19",637,"2,83","225,09",426,"1,90","224,21",42,"0,20","210,00",43,"0,13","330,77",43,"0,11","390,91",2281,"6,96","327,73",3470,"4,71","736,73",6043,"7,28","830,08"
1875,"6,40","292,97",4441,"6,26","709,42",5210,"6,30","826,98",525,"3,43","153,06",432,"1,85","233,51",634,"2,81","225,62",42,"0,24","175,00",41,"0,13","315,38",44,"0,11","400,00",2334,"7,02","332,48",5101,"7,01","727,67",6282,"7,12","882,30"
1760,"6,04","291,39",4143,"5,97","693,97",5295,"6,20","854,03",423,"2,71","156,09",645,"2,81","229,54",645,"2,85","226,32",42,"0,23","182,61",44,"0,13","338,46",42,"0,11","381,82",1538,"4,67","329,34",5169,"6,98","740,54",6309,"7,29","865,43"
1880,"5,84","321,92",4305,"6,11","704,58",3554,"4,20","846,19",513,"3,43","149,56",638,"2,76","231,16",436,"1,88","231,91",41,"0,23","178,26",42,"0,13","323,08",44,"0,12","366,67",2331,"6,95","335,40",4009,"5,58","718,46",6579,"7,42","886,66"
2166,"6,48","334,26",4302,"6,18","696,12",5311,"6,17","860,78",543,"3,45","157,39",496,"2,18","227,52",643,"2,84","226,41",40,"0,20","200,00",43,"0,12","358,33",44,"0,12","366,67",2348,"6,98","336,39",4992,"6,84","729,82",6184,"6,97","887,23"
2059,"6,29","327,34",4166,"5,82","715,81",5308,"6,24","850,64",516,"3,31","155,89",630,"2,72","231,62",658,"2,76","238,41",43,"0,22","195,45",43,"0,14","307,14",40,"0,11","363,64",1546,"4,70","328,94",5158,"7,00","736,86",6025,"6,77","889,96"
1336,"4,24","315,09",4051,"5,68","713,20",3453,"4,21","820,19",512,"3,53","145,04",643,"2,81","228,83",503,"2,21","227,60",41,"0,19","215,79",42,"0,12","350,00",40,"0,11","363,64",2219,"6,91","321,13",4693,"6,68","702,54",6608,"7,44","888,17"
1816,"6,28","289,17",4382,"6,14","713,68",5260,"6,29","836,25",522,"3,56","146,63",614,"2,59","237,07",634,"2,80","226,43",40,"0,20","200,00",43,"0,13","330,77",44,"0,12","366,67",2336,"6,94","336,60",5051,"6,94","727,81",6616,"7,43","890,44"
2022,"6,46","313,00",4571,"6,27","729,03",5300,"6,28","843,95",504,"3,24","155,56",634,"2,80","226,43",647,"2,80","231,07",42,"0,22","190,91",44,"0,14","314,29",44,"0,12","366,67",1808,"5,48","329,93",5160,"7,10","726,76",4392,"4,99","880,16"
