p521_mldsa87,p521_mlkem1024,,p521_falcon1024,p521_mlkem1024,,p521_falcon1024,mlkem1024,,p521_sphincssha2256fsimple,p521_mlkem1024,,p521_sphincssha2256fsimple,mlkem1024,,p521_sphincssha2256ssimple,p521_mlkem1024,,p521_sphincssha2256ssimple,mlkem1024,,p521_mldsa87,mlkem1024,,p521_mayo5,p521_mlkem1024,,p521_mayo5,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
373,"6,31","59,11",373,"6,36","58,65",985,"6,17","159,64",110,"2,25","48,89",200,"2,04","98,04",24,"0,49","48,98",27,"0,22","122,73",1588,"9,37","169,48",378,"6,10","61,97",956,"6,39","149,61"
362,"6,13","59,05",417,"6,72","62,05",995,"6,19","160,74",160,"3,39","47,20",200,"2,00","100,00",26,"0,48","54,17",27,"0,22","122,73",1576,"9,34","168,74",365,"6,10","59,84",992,"6,38","155,49"
398,"6,69","59,49",413,"6,74","61,28",1005,"6,13","163,95",162,"3,32","48,80",199,"2,02","98,51",26,"0,53","49,06",26,"0,22","118,18",1550,"9,24","167,75",369,"6,17","59,81",971,"6,39","151,96"
398,"6,79","58,62",381,"6,27","60,77",979,"6,12","159,97",104,"2,14","48,60",197,"2,00","98,50",27,"0,53","50,94",27,"0,23","117,39",1566,"9,31","168,21",374,"6,13","61,01",955,"6,44","148,29"
264,"4,53","58,28",369,"6,19","59,61",994,"6,14","161,89",155,"3,30","46,97",202,"1,97","102,54",26,"0,53","49,06",26,"0,22","118,18",1575,"9,32","168,99",393,"6,10","64,43",967,"6,36","152,04"
394,"6,56","60,06",398,"6,67","59,67",1007,"6,14","164,01",159,"3,31","48,04",200,"2,04","98,04",26,"0,48","54,17",27,"0,22","122,73",1578,"9,35","168,77",379,"6,09","62,23",976,"6,34","153,94"
393,"6,82","57,62",405,"6,65","60,90",977,"6,11","159,90",129,"2,57","50,19",196,"2,09","93,78",26,"0,52","50,00",27,"0,23","117,39",1587,"9,39","169,01",376,"6,07","61,94",966,"6,35","152,13"
275,"4,56","60,31",278,"4,51","61,64",1013,"6,13","165,25",156,"3,26","47,85",202,"1,98","102,02",26,"0,49","53,06",26,"0,22","118,18",1597,"9,33","171,17",366,"6,10","60,00",961,"6,36","151,10"
399,"6,69","59,64",407,"6,80","59,85",999,"6,10","163,77",160,"3,15","50,79",194,"1,96","98,98",26,"0,51","50,98",27,"0,24","112,50",1508,"9,25","163,03",379,"6,11","62,03",967,"6,44","150,16"
398,"6,82","58,36",413,"6,69","61,73",982,"6,16","159,42",150,"3,16","47,47",199,"2,02","98,51",26,"0,50","52,00",27,"0,23","117,39",1560,"9,26","168,47",373,"6,09","61,25",1000,"6,42","155,76"
