p384_mldsa65,p384_mlkem768,,p384_mldsa65,x448_mlkem768,,p384_mldsa65,mlkem768,,p384_sphincssha2192fsimple,p384_mlkem768,,p384_sphincssha2192fsimple,x448_mlkem768,,p384_sphincssha2192fsimple,mlkem768,,p384_sphincssha2192ssimple,p384_mlkem768,,p384_sphincssha2192ssimple,x448_mlkem768,,p384_sphincssha2192ssimple,mlkem768,,p384_mayo3,p384_mlkem768,,p384_mayo3,x448_mlkem768,,p384_mayo3,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
513,"4,72","108,69",1678,"7,69","218,21",2297,"7,50","306,27",286,"3,60","79,44",387,"3,09","125,24",407,"2,99","136,12",24,"0,27","88,89",26,"0,16","162,50",27,"0,15","180,00",777,"6,91","112,45",1656,"7,45","222,28",1849,"6,53","283,15"
715,"6,83","104,69",1693,"7,71","219,58",2268,"7,43","305,25",308,"4,00","77,00",390,"3,16","123,42",413,"2,94","140,48",24,"0,28","85,71",27,"0,18","150,00",27,"0,14","192,86",753,"6,80","110,74",1626,"7,36","220,92",1899,"6,52","291,26"
781,"7,05","110,78",1130,"5,14","219,84",1556,"5,07","306,90",303,"3,76","80,59",367,"2,99","122,74",414,"2,96","139,86",24,"0,28","85,71",25,"0,16","156,25",26,"0,13","200,00",772,"6,92","111,56",1588,"7,50","211,73",1881,"6,49","289,83"
587,"5,40","108,70",1717,"7,66","224,15",2235,"7,45","300,00",199,"2,65","75,09",395,"3,20","123,44",415,"2,99","138,80",24,"0,28","85,71",26,"0,16","162,50",27,"0,15","180,00",777,"6,85","113,43",1673,"7,42","225,47",1843,"6,58","280,09"
713,"6,65","107,22",1672,"7,62","219,42",2245,"7,46","300,94",306,"3,90","78,46",390,"3,26","119,63",414,"2,95","140,34",24,"0,27","88,89",27,"0,17","158,82",27,"0,15","180,00",753,"6,84","110,09",1663,"7,38","225,34",1944,"6,44","301,86"
740,"6,88","107,56",1158,"5,12","226,17",1490,"5,07","293,89",312,"3,95","78,99",370,"2,92","126,71",404,"2,93","137,88",26,"0,29","89,66",25,"0,15","166,67",27,"0,15","180,00",771,"6,89","111,90",1668,"7,38","226,02",1866,"6,45","289,30"
719,"6,54","109,94",1692,"7,63","221,76",2237,"7,44","300,67",199,"2,70","73,70",367,"2,97","123,57",407,"2,94","138,44",21,"0,24","87,50",26,"0,18","144,44",27,"0,15","180,00",754,"6,88","109,59",1639,"7,47","219,41",1830,"6,47","282,84"
699,"6,77","103,25",1645,"7,59","216,73",2230,"7,46","298,93",309,"3,97","77,83",395,"3,17","124,61",413,"2,93","140,96",22,"0,27","81,48",27,"0,16","168,75",27,"0,14","192,86",757,"6,83","110,83",1647,"7,41","222,27",1901,"6,46","294,27"
762,"6,78","112,39",1357,"5,96","227,68",1792,"5,92","302,70",313,"3,92","79,85",390,"3,17","123,03",414,"2,97","139,39",25,"0,27","92,59",25,"0,16","156,25",27,"0,14","192,86",773,"6,85","112,85",1625,"7,41","219,30",1889,"6,46","292,41"
714,"6,36","112,26",1710,"7,39","231,39",2204,"7,28","302,75",202,"2,61","77,39",268,"2,12","126,42",412,"2,95","139,66",23,"0,28","82,14",27,"0,17","158,82",26,"0,15","173,33",760,"6,93","109,67",1764,"7,41","238,06",1882,"6,45","291,78"
660,"6,30","104,76",1636,"7,54","216,98",2282,"7,44","306,72",313,"3,88","80,67",388,"3,25","119,38",412,"3,01","136,88",24,"0,28","85,71",26,"0,16","162,50",27,"0,15","180,00",767,"6,91","111,00",1626,"7,45","218,26",1867,"6,49","287,67"
762,"6,86","111,08",1565,"7,28","214,97",2196,"7,12","308,43",303,"3,93","77,10",384,"3,26","117,79",403,"2,97","135,69",23,"0,26","88,46",25,"0,17","147,06",27,"0,16","168,75",768,"6,74","113,95",1658,"7,37","224,97",1904,"6,47","294,28"
774,"6,85","112,99",1674,"7,52","222,61",2174,"7,32","296,99",248,"3,23","76,78",265,"2,14","123,83",419,"2,97","141,08",25,"0,29","86,21",26,"0,17","152,94",27,"0,15","180,00",762,"6,86","111,08",1681,"7,42","226,55",1853,"6,48","285,96"
468,"4,58","102,18",1662,"7,57","219,55",2144,"7,33","292,50",288,"3,82","75,39",390,"3,22","121,12",413,"2,92","141,44",24,"0,30","80,00",26,"0,16","162,50",26,"0,14","185,71",786,"6,87","114,41",1709,"7,43","230,01",1877,"6,51","288,33"
751,"6,84","109,80",1594,"7,12","223,88",2139,"7,01","305,14",313,"3,88","80,67",393,"3,18","123,58",410,"3,03","135,31",24,"0,27","88,89",24,"0,15","160,00",27,"0,15","180,00",820,"6,88","119,19",1681,"7,34","229,02",1959,"6,51","300,92"
747,"6,65","112,33",1530,"7,01","218,26",2111,"6,84","308,63",286,"3,77","75,86",263,"2,17","121,20",412,"2,97","138,72",24,"0,28","85,71",25,"0,17","147,06",27,"0,14","192,86",756,"6,90","109,57",1671,"7,45","224,30",1878,"6,50","288,92"
506,"4,53","111,70",1680,"7,66","219,32",2239,"7,44","300,94",302,"3,81","79,27",388,"3,20","121,25",416,"2,99","139,13",25,"0,32","78,12",27,"0,17","158,82",27,"0,14","192,86",763,"6,86","111,22",1643,"7,36","223,23",1925,"6,47","297,53"
743,"6,77","109,75",1725,"7,77","222,01",2309,"7,48","308,69",306,"3,85","79,48",394,"3,15","125,08",408,"2,93","139,25",25,"0,29","86,21",26,"0,16","162,50",27,"0,15","180,00",772,"6,89","112,05",1771,"7,41","239,00",1884,"6,52","288,96"
