ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
3342,"3,23","1034,67",2639,"2,22","1188,74",1014,"2,79","363,44",1360,"1,57","866,24",2368,"2,13","1111,74"
3727,"3,53","1055,81",3073,"2,61","1177,39",1136,"2,83","401,41",2503,"2,70","927,04",3138,"2,82","1112,77"
1994,"1,92","1038,54",2657,"2,29","1160,26",1724,"4,46","386,55",1542,"1,72","896,51",1798,"1,56","1152,56"
1780,"1,77","1005,65",3066,"2,64","1161,36",1535,"4,02","381,84",2369,"2,66","890,60",4590,"3,97","1156,17"
2290,"2,17","1055,30",2570,"2,17","1184,33",1952,"5,05","386,53",2000,"2,33","858,37",2638,"2,35","1122,55"
1531,"1,49","1027,52",3022,"2,63","1149,05",1508,"4,13","365,13",3282,"3,75","875,20",3249,"2,94","1105,10"
3204,"3,15","1017,14",3084,"2,72","1133,82",1466,"3,79","386,81",2482,"2,81","883,27",3379,"2,95","1145,42"
3289,"3,19","1031,03",2205,"1,89","1166,67",1418,"3,62","391,71",2581,"2,85","905,61",4112,"3,66","1123,50"
1617,"1,62","998,15",2832,"2,50","1132,80",1888,"4,85","389,28",2381,"2,66","895,11",2304,"2,01","1146,27"
2949,"2,97","992,93",2774,"2,44","1136,89",1662,"4,56","364,47",2273,"2,50","909,20",3702,"3,32","1115,06"
3868,"3,70","1045,41",2502,"2,14","1169,16",1024,"2,59","395,37",2465,"2,71","909,59",2538,"2,27","1118,06"
2458,"2,37","1037,13",3372,"2,90","1162,76",1704,"4,31","395,36",2528,"2,91","868,73",3024,"2,66","1136,84"
2557,"2,47","1035,22",2143,"1,84","1164,67",2008,"5,24","383,21",1932,"2,08","928,85",1754,"1,58","1110,13"
4488,"4,26","1053,52",2996,"2,59","1156,76",1323,"3,64","363,46",1887,"2,02","934,16",2144,"1,90","1128,42"
1406,"1,33","1057,14",3490,"3,05","1144,26",1984,"5,26","377,19",3521,"3,93","895,93",2741,"2,51","1092,03"
