rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
459,"0,42","1092,86",522,"0,64","815,62",661,"0,50","1322,00",737,"0,63","1169,84",930,"0,92","1010,87",574,"0,57","1007,02",666,"0,55","1210,91",650,"0,57","1140,35",742,"0,60","1236,67",349,"1,38","252,90",226,"0,93","243,01",326,"1,31","248,85",38,"0,10","380,00",36,"0,10","360,00",37,"0,09","411,11"
320,"0,29","1103,45",659,"0,85","775,29",851,"0,77","1105,19",748,"0,65","1150,77",278,"0,28","992,86",991,"0,92","1077,17",743,"0,64","1160,94",1002,"0,94","1065,96",794,"0,67","1185,07",420,"1,75","240,00",427,"1,71","249,71",389,"1,57","247,77",38,"0,10","380,00",40,"0,12","333,33",37,"0,09","411,11"
712,"0,64","1112,50",500,"0,68","735,29",675,"0,51","1323,53",959,"0,80","1198,75",886,"0,86","1030,23",645,"0,68","948,53",623,"0,53","1175,47",558,"0,54","1033,33",700,"0,53","1320,75",302,"1,22","247,54",363,"1,46","248,63",417,"1,72","242,44",35,"0,09","388,89",39,"0,10","390,00",34,"0,08","425,00"
453,"0,40","1132,50",651,"0,73","891,78",384,"0,31","1238,71",880,"0,74","1189,19",724,"0,78","928,21",774,"0,75","1032,00",908,"0,75","1210,67",814,"0,79","1030,38",762,"0,60","1270,00",280,"1,13","247,79",386,"1,53","252,29",454,"1,72","263,95",36,"0,08","450,00",38,"0,11","345,45",40,"0,11","363,64"
589,"0,46","1280,43",712,"0,86","827,91",499,"0,41","1217,07",712,"0,61","1167,21",513,"0,56","916,07",415,"0,41","1012,20",732,"0,55","1330,91",410,"0,38","1078,95",434,"0,36","1205,56",348,"1,40","248,57",343,"1,24","276,61",212,"0,83","255,42",39,"0,11","354,55",37,"0,10","370,00",41,"0,10","410,00"
761,"0,58","1312,07",509,"0,66","771,21",676,"0,61","1108,20",1185,"0,96","1234,38",968,"0,95","1018,95",1006,"0,99","1016,16",1004,"0,73","1375,34",624,"0,58","1075,86",762,"0,60","1270,00",424,"1,71","247,95",419,"1,69","247,93",347,"1,30","266,92",38,"0,10","380,00",39,"0,10","390,00",38,"0,10","380,00"
846,"0,76","1113,16",584,"0,79","739,24",639,"0,48","1331,25",1391,"1,19","1168,91",429,"0,41","1046,34",570,"0,60","950,00",1002,"0,79","1268,35",916,"0,88","1040,91",815,"0,64","1273,44",390,"1,60","243,75",225,"0,82","274,39",394,"1,52","259,21",39,"0,11","354,55",39,"0,09","433,33",40,"0,10","400,00"
589,"0,46","1280,43",662,"0,81","817,28",648,"0,55","1178,18",556,"0,47","1182,98",866,"0,87","995,40",589,"0,61","965,57",1350,"1,03","1310,68",487,"0,48","1014,58",503,"0,41","1226,83",385,"1,47","261,90",181,"0,63","287,30",207,"0,83","249,40",41,"0,10","410,00",40,"0,10","400,00",41,"0,10","410,00"
767,"0,61","1257,38",679,"0,66","1028,79",620,"0,53","1169,81",1353,"1,12","1208,04",990,"0,96","1031,25",804,"0,78","1030,77",856,"0,63","1358,73",1088,"1,10","989,09",1130,"0,92","1228,26",347,"1,50","231,33",293,"1,06","276,42",386,"1,56","247,44",38,"0,10","380,00",36,"0,10","360,00",37,"0,09","411,11"
527,"0,48","1097,92",850,"1,02","833,33",550,"0,46","1195,65",455,"0,40","1137,50",897,"0,89","1007,87",869,"0,84","1034,52",312,"0,23","1356,52",890,"0,82","1085,37",977,"0,80","1221,25",241,"0,96","251,04",333,"1,17","284,62",341,"1,38","247,10",38,"0,09","422,22",36,"0,09","400,00",38,"0,10","380,00"
586,"0,49","1195,92",543,"0,68","798,53",330,"0,30","1100,00",894,"0,73","1224,66",1497,"1,53","978,43",636,"0,69","921,74",548,"0,42","1304,76",717,"0,67","1070,15",983,"0,84","1170,24",322,"1,34","240,30",355,"1,25","284,00",297,"1,20","247,50",41,"0,11","372,73",37,"0,10","370,00",36,"0,10","360,00"
