ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
790,"5,10","154,90",982,"3,37","291,39",1036,"4,52","229,20",1576,"1,28","1231,25",307,"2,50","122,80",441,"2,20","200,45",25,"0,15","166,67",24,"0,07","342,86"
546,"3,51","155,56",930,"3,04","305,92",919,"4,01","229,18",1501,"1,22","1230,33",299,"2,36","126,69",226,"1,06","213,21",24,"0,14","171,43",25,"0,08","312,50"
648,"4,19","154,65",1214,"3,72","326,34",413,"1,91","216,23",1806,"1,48","1220,27",325,"2,66","122,18",312,"1,47","212,24",26,"0,17","152,94",27,"0,08","337,50"
711,"4,65","152,90",1197,"3,82","313,35",908,"3,94","230,46",1287,"1,05","1225,71",270,"2,19","123,29",462,"2,20","210,00",25,"0,16","156,25",26,"0,06","433,33"
439,"2,97","147,81",1108,"3,73","297,05",671,"2,95","227,46",2478,"2,08","1191,35",284,"2,42","117,36",282,"1,34","210,45",24,"0,15","160,00",25,"0,07","357,14"
742,"4,68","158,55",913,"2,84","321,48",660,"2,80","235,71",2378,"1,96","1213,27",275,"2,40","114,58",296,"1,41","209,93",26,"0,16","162,50",27,"0,09","300,00"
723,"4,65","155,48",970,"2,99","324,41",1052,"4,73","222,41",1010,"0,82","1231,71",322,"2,66","121,05",343,"1,62","211,73",25,"0,15","166,67",25,"0,07","357,14"
324,"2,06","157,28",753,"2,56","294,14",980,"4,27","229,51",1415,"1,18","1199,15",318,"2,50","127,20",250,"1,22","204,92",25,"0,17","147,06",26,"0,07","371,43"
710,"4,47","158,84",1416,"4,32","327,78",839,"3,82","219,63",1479,"1,17","1264,10",339,"2,79","121,51",395,"1,88","210,11",26,"0,16","162,50",27,"0,08","337,50"
734,"4,94","148,58",729,"2,40","303,75",1009,"4,58","220,31",1592,"1,32","1206,06",334,"2,77","120,58",413,"2,04","202,45",26,"0,16","162,50",24,"0,07","342,86"
768,"4,87","157,70",494,"1,74","283,91",823,"3,63","226,72",1376,"1,12","1228,57",310,"2,59","119,69",353,"1,65","213,94",19,"0,12","158,33",24,"0,07","342,86"
641,"4,20","152,62",1020,"3,34","305,39",1011,"4,46","226,68",1314,"1,10","1194,55",318,"2,61","121,84",311,"1,54","201,95",26,"0,17","152,94",27,"0,08","337,50"
739,"4,88","151,43",1700,"5,62","302,49",866,"3,88","223,20",2060,"1,64","1256,10",299,"2,42","123,55",422,"1,97","214,21",26,"0,18","144,44",25,"0,06","416,67"
690,"4,69","147,12",506,"1,60","316,25",734,"3,21","228,66",2163,"1,75","1236,00",332,"2,69","123,42",332,"1,59","208,81",18,"0,11","163,64",26,"0,08","325,00"
600,"3,93","152,67",1262,"4,30","293,49",732,"3,17","230,91",1927,"1,58","1219,62",301,"2,44","123,36",357,"1,70","210,00",25,"0,16","156,25",27,"0,08","337,50"
536,"3,62","148,07",1148,"3,76","305,32",719,"3,07","234,20",1446,"1,20","1205,00",339,"2,82","120,21",351,"1,66","211,45",24,"0,15","160,00",24,"0,07","342,86"
800,"5,04","158,73",792,"2,75","288,00",851,"3,76","226,33",1906,"1,50","1270,67",218,"1,81","120,44",349,"1,73","201,73",18,"0,11","163,64",25,"0,07","357,14"
802,"5,07","158,19",1307,"4,43","295,03",775,"3,58","216,48",1096,"0,97","1129,90",354,"3,04","116,45",351,"1,71","205,26",26,"0,17","152,94",27,"0,08","337,50"
652,"4,24","153,77",1229,"3,93","312,72",807,"3,60","224,17",1482,"1,17","1266,67",388,"3,19","121,63",409,"1,97","207,61",25,"0,17","147,06",26,"0,07","371,43"
495,"3,07","161,24",1127,"3,59","313,93",845,"3,76","224,73",1550,"1,26","1230,16",247,"2,05","120,49",375,"1,78","210,67",21,"0,14","150,00",22,"0,06","366,67"
472,"3,07","153,75",1037,"3,49","297,13",938,"4,27","219,67",2233,"1,77","1261,58",320,"2,54","125,98",394,"1,91","206,28",26,"0,17","152,94",25,"0,07","357,14"
903,"5,67","159,26",1046,"3,45","303,19",825,"3,65","226,03",2459,"1,98","1241,92",334,"2,74","121,90",343,"1,63","210,43",26,"0,17","152,94",26,"0,07","371,43"
714,"4,87","146,61",781,"2,67","292,51",1090,"4,77","228,51",1514,"1,22","1240,98",234,"1,87","125,13",368,"1,79","205,59",24,"0,16","150,00",25,"0,08","312,50"
544,"3,71","146,63",787,"2,66","295,86",924,"4,11","224,82",2280,"1,75","1302,86",394,"3,23","121,98",263,"1,27","207,09",26,"0,17","152,94",27,"0,08","337,50"
676,"4,23","159,81",1034,"3,43","301,46",722,"3,19","226,33",2107,"1,74","1210,92",368,"3,07","119,87",368,"1,73","212,72",27,"0,16","168,75",25,"0,07","357,14"
670,"4,49","149,22",1118,"3,50","319,43",831,"3,67","226,43",1282,"1,00","1282,00",236,"1,91","123,56",310,"1,53","202,61",24,"0,15","160,00",26,"0,08","325,00"
436,"2,74","159,12",1021,"3,46","295,09",714,"3,20","223,12",2322,"1,82","1275,82",281,"2,26","124,34",291,"1,48","196,62",25,"0,16","156,25",22,"0,06","366,67"
851,"5,84","145,72",1106,"3,52","314,20",883,"3,82","231,15",1393,"1,16","1200,86",336,"2,76","121,74",336,"1,55","216,77",26,"0,16","162,50",25,"0,08","312,50"
929,"6,04","153,81",1417,"4,55","311,43",896,"3,84","233,33",1151,"0,93","1237,63",244,"2,08","117,31",419,"1,93","217,10",26,"0,17","152,94",27,"0,07","385,71"
655,"4,08","160,54",767,"2,84","270,07",959,"4,56","210,31",2261,"1,74","1299,43",380,"3,14","121,02",269,"1,31","205,34",18,"0,10","180,00",27,"0,08","337,50"
525,"3,48","150,86",884,"2,66","332,33",657,"2,89","227,34",1855,"1,59","1166,67",342,"2,93","116,72",359,"1,82","197,25",27,"0,17","158,82",25,"0,07","357,14"
741,"4,88","151,84",1262,"4,07","310,07",1136,"5,17","219,73",1794,"1,43","1254,55",361,"2,94","122,79",394,"1,89","208,47",26,"0,17","152,94",27,"0,08","337,50"
873,"5,86","148,98",628,"2,22","282,88",969,"4,47","216,78",1704,"1,34","1271,64",295,"2,42","121,90",285,"1,40","203,57",18,"0,11","163,64",24,"0,08","300,00"
676,"4,35","155,40",1111,"3,73","297,86",628,"2,84","221,13",2137,"1,68","1272,02",340,"2,75","123,64",371,"1,79","207,26",26,"0,17","152,94",24,"0,07","342,86"
743,"4,95","150,10",751,"2,47","304,05",783,"3,42","228,95",2599,"2,19","1186,76",363,"3,03","119,80",397,"1,91","207,85",27,"0,17","158,82",25,"0,07","357,14"
728,"5,05","144,16",720,"2,33","309,01",1234,"5,76","214,24",1379,"1,07","1288,79",179,"1,51","118,54",377,"1,84","204,89",18,"0,11","163,64",27,"0,08","337,50"
607,"4,35","139,54",757,"2,56","295,70",586,"2,65","221,13",2218,"1,76","1260,23",316,"2,65","119,25",310,"1,44","215,28",25,"0,16","156,25",26,"0,08","325,00"
723,"4,86","148,77",880,"3,02","291,39",1147,"5,11","224,46",1445,"1,22","1184,43",368,"2,99","123,08",383,"1,96","195,41",25,"0,16","156,25",26,"0,07","371,43"
817,"5,32","153,57",1025,"3,31","309,67",856,"3,91","218,93",1185,"0,99","1196,97",169,"1,36","124,26",245,"1,20","204,17",21,"0,13","161,54",26,"0,07","371,43"
