mldsa65,p384_mlkem768,,mldsa65,x448_mlkem768,,mldsa65,mlkem768,,sphincssha2192fsimple,p384_mlkem768,,sphincssha2192fsimple,mlkem768,,sphincssha2192fsimple,x448_mlkem768,,sphincssha2192ssimple,p384_mlkem768,,sphincssha2192ssimple,x448_mlkem768,,sphincssha2192ssimple,mlkem768,,mayo3,p384_mlkem768,,mayo3,x448_mlkem768,,mayo3,mlkem768,,CROSSrsdpg192balanced,p384_mlkem768,,CROSSrsdpg192balanced,x448_mlkem768,,CROSSrsdpg192balanced,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
597,"3,91","152,69",3425,"6,38","536,83",8218,"6,72","1222,92",233,"2,56","91,02",460,"2,27","202,64",444,"2,59","171,43",24,"0,22","109,09",27,"0,11","245,45",27,"0,08","337,50",914,"5,76","158,68",3049,"6,29","484,74",6521,"6,29","1036,72",741,"6,50","114,00",2073,"8,32","249,16",2149,"6,20","346,61"
899,"5,80","155,00",3096,"6,07","510,05",8318,"6,61","1258,40",343,"3,71","92,45",465,"2,24","207,59",282,"1,85","152,43",25,"0,24","104,17",28,"0,12","233,33",25,"0,07","357,14",912,"5,94","153,54",3147,"6,14","512,54",6529,"6,29","1038,00",782,"6,27","124,72",2079,"8,52","244,01",3150,"9,18","343,14"
906,"5,84","155,14",3404,"6,38","533,54",5563,"4,45","1250,11",335,"3,57","93,84",425,"2,13","199,53",412,"2,46","167,48",27,"0,26","103,85",26,"0,09","288,89",26,"0,08","325,00",909,"5,76","157,81",3396,"6,73","504,61",4482,"4,22","1062,09",755,"6,16","122,56",1382,"5,71","242,03",3129,"9,04","346,13"
689,"4,61","149,46",3343,"6,35","526,46",8287,"6,50","1274,92",237,"2,41","98,34",470,"2,26","207,96",440,"2,50","176,00",26,"0,24","108,33",27,"0,10","270,00",27,"0,08","337,50",919,"5,90","155,76",3219,"6,60","487,73",6510,"6,11","1065,47",760,"6,57","115,68",2076,"8,50","244,24",2503,"7,12","351,54"
866,"5,55","156,04",3163,"5,92","534,29",8481,"6,55","1294,81",338,"3,42","98,83",452,"2,16","209,26",325,"1,97","164,97",25,"0,23","108,70",26,"0,11","236,36",28,"0,08","350,00",930,"5,86","158,70",2216,"4,41","502,49",6420,"6,22","1032,15",747,"6,79","110,01",2074,"8,38","247,49",2951,"8,97","328,99"
912,"5,91","154,31",3107,"5,92","524,83",5717,"4,43","1290,52",348,"3,67","94,82",440,"2,14","205,61",427,"2,50","170,80",26,"0,23","113,04",26,"0,09","288,89",25,"0,07","357,14",884,"5,42","163,10",3421,"6,63","515,99",4309,"4,33","995,15",514,"4,52","113,72",1377,"5,57","247,22",3234,"9,13","354,22"
810,"5,65","143,36",3427,"6,51","526,42",8031,"6,46","1243,19",249,"2,85","87,37",401,"2,07","193,72",427,"2,51","170,12",26,"0,24","108,33",28,"0,10","280,00",28,"0,09","311,11",862,"5,38","160,22",3211,"6,62","485,05",6504,"6,29","1034,02",775,"6,53","118,68",2019,"8,37","241,22",3072,"8,79","349,49"
927,"5,74","161,50",3367,"6,45","522,02",8319,"6,63","1254,75",325,"3,40","95,59",465,"2,24","207,59",431,"2,46","175,20",25,"0,24","104,17",27,"0,11","245,45",27,"0,07","385,71",933,"5,80","160,86",2231,"4,61","483,95",6403,"6,24","1026,12",737,"6,94","106,20",2173,"8,54","254,45",3027,"9,07","333,74"
921,"5,86","157,17",2354,"4,34","542,40",5781,"4,54","1273,35",336,"3,68","91,30",460,"2,28","201,75",422,"2,67","158,05",27,"0,24","112,50",25,"0,10","250,00",26,"0,09","288,89",936,"5,96","157,05",3407,"6,73","506,24",5278,"4,96","1064,11",559,"4,49","124,50",1685,"6,61","254,92",3140,"9,09","345,43"
813,"5,59","145,44",3454,"6,45","535,50",8342,"6,76","1234,02",310,"3,55","87,32",308,"1,49","206,71",438,"2,68","163,43",27,"0,24","112,50",26,"0,11","236,36",27,"0,08","337,50",622,"4,01","155,11",3343,"6,60","506,52",6446,"6,12","1053,27",791,"6,62","119,49",2021,"8,10","249,51",3007,"8,52","352,93"
842,"5,36","157,09",3342,"6,34","527,13",8256,"6,60","1250,91",340,"3,44","98,84",463,"2,23","207,62",396,"2,47","160,32",26,"0,22","118,18",26,"0,10","260,00",27,"0,07","385,71",958,"5,94","161,28",2290,"4,55","503,30",6467,"6,47","999,54",757,"6,43","117,73",2067,"8,50","243,18",2731,"8,33","327,85"
906,"5,84","155,14",2359,"4,32","546,06",6423,"5,09","1261,89",321,"3,58","89,66",452,"2,66","169,92",393,"2,35","167,23",27,"0,27","100,00",27,"0,11","245,45",27,"0,08","337,50",949,"5,96","159,23",3374,"6,66","506,61",6219,"5,99","1038,23",573,"4,49","127,62",2012,"7,98","252,13",3020,"9,20","328,26"
888,"5,82","152,58",3356,"6,40","524,38",8260,"6,31","1309,03",336,"3,36","100,00",311,"1,47","211,56",435,"2,67","162,92",26,"0,23","113,04",26,"0,09","288,89",27,"0,09","300,00",622,"3,88","160,31",3280,"6,63","494,72",6409,"6,18","1037,06",746,"6,76","110,36",2034,"8,26","246,25",3254,"9,13","356,41"
627,"3,90","160,77",3354,"6,48","517,59",7998,"6,63","1206,33",306,"3,28","93,29",446,"2,19","203,65",446,"2,62","170,23",26,"0,26","100,00",26,"0,12","216,67",27,"0,09","300,00",946,"5,84","161,99",2649,"5,21","508,45",6377,"6,30","1012,22",769,"6,67","115,29",2070,"8,40","246,43",2129,"6,12","347,88"
919,"5,89","156,03",2244,"4,38","512,33",8163,"6,43","1269,52",343,"3,49","98,28",462,"2,28","202,63",295,"1,73","170,52",27,"0,26","103,85",28,"0,12","233,33",27,"0,08","337,50",924,"5,92","156,08",3324,"6,46","514,55",6239,"5,88","1061,05",607,"5,29","114,74",1975,"7,86","251,27",3133,"9,00","348,11"
946,"5,79","163,39",3422,"6,32","541,46",8089,"6,64","1218,22",338,"3,58","94,41",294,"1,41","208,51",434,"2,57","168,87",26,"0,23","113,04",26,"0,10","260,00",27,"0,07","385,71",623,"3,89","160,15",3309,"6,78","488,05",5912,"5,71","1035,38",756,"6,45","117,21",1940,"7,69","252,28",3104,"9,11","340,72"
