mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
50,"0,50","100,00",52,"0,08","650,00",48,"0,48","100,00",54,"0,08","675,00",35,"0,52","67,31",37,"0,21","176,19",18,"0,21","85,71",18,"0,08","225,00"
47,"0,48","97,92",54,"0,09","600,00",50,"0,46","108,70",51,"0,07","728,57",32,"0,47","68,09",34,"0,20","170,00",17,"0,22","77,27",18,"0,08","225,00"
47,"0,50","94,00",54,"0,09","600,00",49,"0,46","106,52",54,"0,09","600,00",33,"0,49","67,35",36,"0,20","180,00",18,"0,22","81,82",19,"0,07","271,43"
50,"0,51","98,04",51,"0,08","637,50",49,"0,52","94,23",53,"0,08","662,50",35,"0,51","68,63",36,"0,21","171,43",17,"0,20","85,00",18,"0,08","225,00"
50,"0,46","108,70",55,"0,08","687,50",51,"0,47","108,51",52,"0,09","577,78",34,"0,50","68,00",34,"0,20","170,00",18,"0,22","81,82",17,"0,08","212,50"
48,"0,49","97,96",54,"0,08","675,00",48,"0,47","102,13",54,"0,08","675,00",24,"0,34","70,59",36,"0,21","171,43",17,"0,21","80,95",19,"0,08","237,50"
51,"0,50","102,00",50,"0,06","833,33",50,"0,52","96,15",52,"0,09","577,78",35,"0,51","68,63",36,"0,20","180,00",18,"0,22","81,82",17,"0,07","242,86"
49,"0,47","104,26",50,"0,08","625,00",50,"0,50","100,00",53,"0,09","588,89",35,"0,48","72,92",34,"0,19","178,95",18,"0,23","78,26",18,"0,08","225,00"
49,"0,48","102,08",55,"0,08","687,50",47,"0,46","102,17",54,"0,09","600,00",23,"0,32","71,88",34,"0,19","178,95",17,"0,22","77,27",19,"0,08","237,50"
50,"0,49","102,04",54,"0,08","675,00",46,"0,50","92,00",52,"0,08","650,00",35,"0,49","71,43",36,"0,20","180,00",18,"0,23","78,26",17,"0,06","283,33"
49,"0,52","94,23",51,"0,07","728,57",50,"0,46","108,70",53,"0,08","662,50",35,"0,50","70,00",36,"0,19","189,47",18,"0,22","81,82",18,"0,08","225,00"
49,"0,49","100,00",54,"0,08","675,00",51,"0,48","106,25",54,"0,08","675,00",24,"0,33","72,73",34,"0,19","178,95",16,"0,21","76,19",19,"0,07","271,43"
50,"0,50","100,00",53,"0,08","662,50",47,"0,45","104,44",51,"0,08","637,50",35,"0,49","71,43",36,"0,20","180,00",16,"0,20","80,00",17,"0,06","283,33"
48,"0,46","104,35",53,"0,08","662,50",50,"0,50","100,00",55,"0,09","611,11",35,"0,50","70,00",36,"0,20","180,00",18,"0,23","78,26",18,"0,07","257,14"
50,"0,51","98,04",54,"0,07","771,43",50,"0,49","102,04",54,"0,08","675,00",27,"0,37","72,97",35,"0,21","166,67",18,"0,22","81,82",18,"0,08","225,00"
51,"0,51","100,00",52,"0,07","742,86",48,"0,44","109,09",50,"0,08","625,00",35,"0,48","72,92",36,"0,21","171,43",17,"0,22","77,27",17,"0,07","242,86"
47,"0,45","104,44",53,"0,08","662,50",50,"0,48","104,17",50,"0,08","625,00",35,"0,51","68,63",35,"0,20","175,00",18,"0,23","78,26",19,"0,07","271,43"
47,"0,45","104,44",54,"0,09","600,00",50,"0,51","98,04",54,"0,08","675,00",32,"0,48","66,67",35,"0,20","175,00",17,"0,21","80,95",18,"0,08","225,00"
50,"0,49","102,04",52,"0,08","650,00",48,"0,47","102,13",54,"0,08","675,00",32,"0,45","71,11",36,"0,21","171,43",17,"0,23","73,91",17,"0,07","242,86"
50,"0,51","98,04",54,"0,08","675,00",50,"0,51","98,04",51,"0,08","637,50",35,"0,48","72,92",35,"0,20","175,00",17,"0,22","77,27",17,"0,07","242,86"
34,"0,32","106,25",54,"0,09","600,00",49,"0,46","106,52",54,"0,09","600,00",35,"0,47","74,47",35,"0,21","166,67",16,"0,21","76,19",18,"0,07","257,14"
51,"0,49","104,08",51,"0,08","637,50",49,"0,50","98,00",53,"0,09","588,89",24,"0,32","75,00",37,"0,21","176,19",17,"0,21","80,95",17,"0,07","242,86"
50,"0,52","96,15",50,"0,09","555,56",50,"0,50","100,00",52,"0,07","742,86",35,"0,51","68,63",34,"0,19","178,95",18,"0,25","72,00",19,"0,08","237,50"
34,"0,35","97,14",54,"0,08","675,00",48,"0,49","97,96",54,"0,09","600,00",35,"0,48","72,92",36,"0,22","163,64",17,"0,23","73,91",19,"0,07","271,43"
51,"0,48","106,25",54,"0,08","675,00",50,"0,53","94,34",53,"0,09","588,89",23,"0,33","69,70",36,"0,20","180,00",17,"0,21","80,95",16,"0,06","266,67"
50,"0,48","104,17",37,"0,05","740,00",50,"0,49","102,04",52,"0,09","577,78",35,"0,49","71,43",33,"0,19","173,68",18,"0,24","75,00",18,"0,07","257,14"
34,"0,34","100,00",54,"0,09","600,00",47,"0,45","104,44",54,"0,09","600,00",35,"0,50","70,00",34,"0,19","178,95",16,"0,23","69,57",18,"0,07","257,14"
50,"0,50","100,00",54,"0,08","675,00",46,"0,44","104,55",52,"0,08","650,00",24,"0,34","70,59",36,"0,21","171,43",18,"0,22","81,82",17,"0,06","283,33"
51,"0,49","104,08",37,"0,07","528,57",50,"0,51","98,04",53,"0,09","588,89",35,"0,48","72,92",36,"0,20","180,00",18,"0,24","75,00",18,"0,07","257,14"
40,"0,39","102,56",54,"0,08","675,00",51,"0,49","104,08",54,"0,08","675,00",35,"0,52","67,31",34,"0,21","161,90",16,"0,21","76,19",19,"0,08","237,50"
