secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
350,"2,29","152,84",283,"1,08","262,04",242,"2,05","118,05",400,"1,82","219,78",402,"1,40","287,14"
349,"2,24","155,80",418,"1,63","256,44",306,"2,63","116,35",270,"1,22","221,31",404,"1,28","315,62"
276,"1,88","146,81",416,"1,64","253,66",307,"2,63","116,73",407,"1,73","235,26",436,"1,43","304,90"
335,"2,36","141,95",281,"1,08","260,19",292,"2,55","114,51",402,"1,80","223,33",432,"1,51","286,09"
346,"2,42","142,98",422,"1,53","275,82",306,"2,78","110,07",274,"1,15","238,26",295,"0,95","310,53"
333,"2,24","148,66",416,"1,63","255,21",310,"2,67","116,10",403,"1,82","221,43",432,"1,49","289,93"
345,"2,35","146,81",284,"1,06","267,92",288,"2,44","118,03",403,"1,79","225,14",430,"1,47","292,52"
350,"2,30","152,17",419,"1,60","261,88",285,"2,54","112,20",318,"1,32","240,91",289,"1,01","286,14"
328,"2,20","149,09",417,"1,66","251,20",309,"2,70","114,44",403,"1,69","238,46",436,"1,42","307,04"
316,"2,15","146,98",330,"1,27","259,84",310,"2,70","114,81",405,"1,76","230,11",436,"1,41","309,22"
347,"2,26","153,54",407,"1,58","257,59",212,"1,73","122,54",381,"1,72","221,51",292,"0,96","304,17"
345,"2,40","143,75",418,"1,62","258,02",307,"2,73","112,45",403,"1,76","228,98",433,"1,45","298,62"
232,"1,59","145,91",397,"1,60","248,12",310,"2,64","117,42",407,"1,73","235,26",432,"1,50","288,00"
345,"2,40","143,75",413,"1,55","266,45",209,"1,80","116,11",380,"1,61","236,02",337,"1,14","295,61"
348,"2,36","147,46",417,"1,65","252,73",311,"2,63","118,25",378,"1,59","237,74",428,"1,40","305,71"
237,"1,52","155,92",397,"1,48","268,24",314,"2,60","120,77",402,"1,80","223,33",434,"1,44","301,39"
