secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
26,"0,17","152,94",27,"0,10","270,00",25,"0,23","108,70",26,"0,11","236,36",27,"0,09","300,00"
26,"0,19","136,84",27,"0,11","245,45",27,"0,23","117,39",27,"0,12","225,00",26,"0,09","288,89"
27,"0,18","150,00",18,"0,08","225,00",26,"0,22","118,18",26,"0,13","200,00",27,"0,09","300,00"
26,"0,18","144,44",27,"0,11","245,45",24,"0,21","114,29",27,"0,11","245,45",26,"0,10","260,00"
26,"0,19","136,84",27,"0,11","245,45",25,"0,23","108,70",27,"0,12","225,00",27,"0,10","270,00"
27,"0,18","150,00",21,"0,08","262,50",27,"0,22","122,73",25,"0,12","208,33",27,"0,09","300,00"
25,"0,18","138,89",27,"0,11","245,45",26,"0,22","118,18",27,"0,13","207,69",26,"0,09","288,89"
27,"0,18","150,00",27,"0,11","245,45",25,"0,21","119,05",27,"0,12","225,00",27,"0,09","300,00"
27,"0,18","150,00",26,"0,11","236,36",27,"0,22","122,73",25,"0,11","227,27",27,"0,09","300,00"
24,"0,17","141,18",26,"0,09","288,89",26,"0,22","118,18",25,"0,11","227,27",25,"0,09","277,78"
25,"0,18","138,89",27,"0,09","300,00",25,"0,21","119,05",27,"0,12","225,00",25,"0,08","312,50"
27,"0,19","142,11",26,"0,10","260,00",27,"0,22","122,73",27,"0,12","225,00",27,"0,10","270,00"
26,"0,18","144,44",27,"0,11","245,45",25,"0,22","113,64",26,"0,12","216,67",28,"0,09","311,11"
26,"0,17","152,94",27,"0,11","245,45",26,"0,22","118,18",27,"0,11","245,45",25,"0,08","312,50"
26,"0,17","152,94",25,"0,09","277,78",27,"0,24","112,50",26,"0,12","216,67",27,"0,09","300,00"
27,"0,18","150,00",25,"0,10","250,00",25,"0,22","113,64",26,"0,12","216,67",27,"0,09","300,00"
25,"0,17","147,06",27,"0,12","225,00",26,"0,22","118,18",27,"0,13","207,69",26,"0,07","371,43"
27,"0,19","142,11",27,"0,11","245,45",27,"0,23","117,39",26,"0,11","236,36",27,"0,09","300,00"
26,"0,18","144,44",26,"0,11","236,36",24,"0,22","109,09",27,"0,12","225,00",26,"0,09","288,89"
26,"0,17","152,94",27,"0,12","225,00",25,"0,22","113,64",27,"0,12","225,00",27,"0,10","270,00"
27,"0,19","142,11",26,"0,11","236,36",26,"0,23","113,04",25,"0,10","250,00",27,"0,10","270,00"
25,"0,17","147,06",26,"0,11","236,36",26,"0,25","104,00",27,"0,12","225,00",26,"0,09","288,89"
27,"0,18","150,00",27,"0,11","245,45",18,"0,15","120,00",27,"0,13","207,69",27,"0,09","300,00"
26,"0,17","152,94",27,"0,11","245,45",27,"0,23","117,39",25,"0,12","208,33",27,"0,10","270,00"
26,"0,17","152,94",26,"0,10","260,00",26,"0,22","118,18",25,"0,11","227,27",25,"0,08","312,50"
